date,high,low,open,close,volume,quoteVolume,weightedAverage
1441814400,9e-05,8.5e-05,8.5e-05,9e-05,0.20168553,2297.79486111,8.777e-05
1441828800,0.00028,9e-05,9e-05,0.00021868,7.20665437,44041.52796388,0.00016363
1441843200,0.0006,0.00015,0.000213,0.000251,46.28435956,147571.40786914,0.00031364
1441857600,0.00034525,0.000175,0.00025101,0.0002221,19.5497935,80377.3720635,0.00024322
1441872000,0.00029682,0.00022209,0.00023002,0.00026,4.69064188,17270.24848919,0.0002716
1441886400,0.0003,0.00022508,0.00024,0.00028978,17.1019467,60190.6975702,0.00028412
1441900800,0.000305,0.00026001,0.00028978,0.00029952,6.24779323,22177.10788072,0.00028172
1441915200,0.000298,0.00026,0.00028,0.00028,4.58224409,16637.74726917,0.00027541
1441929600,0.0003,0.00025047,0.00025812,0.0003,11.53908443,40658.38244992,0.0002838
1441944000,0.00030499,0.00028112,0.00030008,0.00028112,0.46546185,1545.95361617,0.00030108
1441958400,0.0003,0.00021,0.0003,0.00021,5.79078938,24877.8385252,0.00023276
1441972800,0.00025345,0.00016003,0.00022493,0.00022,10.68364721,53423.82285562,0.00019997
1441987200,0.00022,0.000175,0.00020999,0.00018951,2.17959922,11626.35230389,0.00018747
1442001600,0.00020999,0.00016,0.00018741,0.0001739,4.1752523,22641.05373437,0.00018441
1442016000,0.0001769,9.555e-05,0.00017,9.595e-05,4.24252722,33383.68692292,0.00012708
1442030400,0.0001768,8.2e-05,9.591e-05,9.212e-05,25.65133547,262252.57953834,9.781e-05
1442044800,0.000119,8.4e-05,9.048e-05,0.000119,13.18228092,135177.56169033,9.751e-05
1442059200,0.00013,9.9e-05,0.00011499,0.00011,9.15344394,82626.32522381,0.00011078
1442073600,0.00012,9.71e-05,0.00010511,0.0001,9.32282129,90010.03314642,0.00010357
1442088000,0.00010995,9.608e-05,0.0001,0.00010196,6.91561169,67814.10598046,0.00010197
1442102400,0.00013256,0.0001,0.00010685,0.00010999,11.83969554,100564.7328888,0.00011773
1442116800,0.00010915,9.943e-05,0.00010014,9.943e-05,2.98418228,29349.9249785,0.00010167
1442131200,0.0001,9.2e-05,9.901e-05,9.809e-05,5.12474179,53279.66020927,9.618e-05
1442145600,0.000105,8.5e-05,9.79e-05,8.699e-05,13.91297395,155868.8693376,8.926e-05
1442160000,9.39e-05,8.5e-05,9.109e-05,8.5e-05,3.90990716,45558.95422001,8.582e-05
1442174400,9.09e-05,6.368e-05,8.9e-05,8.4e-05,13.91293117,184805.31239072,7.528e-05
1442188800,9.22e-05,7.5e-05,8.1e-05,8.12e-05,1.16201023,13528.77709995,8.589e-05
1442203200,9.853e-05,7.876e-05,8.102e-05,8.389e-05,6.43210354,70700.73621311,9.097e-05
1442217600,9.1e-05,8.303e-05,8.381e-05,8.42e-05,3.36284067,38319.03621896,8.775e-05
1442232000,9.853e-05,6.667e-05,8.8e-05,6.711e-05,11.11152485,134541.15550894,8.258e-05
1442246400,8.132e-05,6.712e-05,6.712e-05,7.901e-05,1.13566345,14231.89683516,7.979e-05
1442260800,8.123e-05,7.506e-05,8e-05,7.522e-05,0.86697188,11006.47672832,7.876e-05
1442275200,7.863e-05,7.5e-05,7.604e-05,7.754e-05,1.10561157,14611.98671434,7.566e-05
1442289600,7.77e-05,7.503e-05,7.755e-05,7.7e-05,1.37306713,17849.79981127,7.692e-05
1442304000,8.2e-05,7.601e-05,7.7e-05,8.199e-05,5.60694832,70484.2163404,7.954e-05
1442318400,8.599e-05,7.712e-05,7.883e-05,8.419e-05,8.46162188,103582.15724598,8.168e-05
1442332800,8.481e-05,7.605e-05,8.003e-05,8.106e-05,4.94496819,63439.33624513,7.794e-05
1442347200,8.217e-05,7.635e-05,7.635e-05,8.195e-05,0.89291417,11103.75618722,8.041e-05
1442361600,9.092e-05,8.1e-05,8.195e-05,9.092e-05,2.77429937,32294.65453093,8.59e-05
1442376000,9.296e-05,8.4e-05,9.199e-05,8.4e-05,1.03807002,11289.66330282,9.194e-05
1442390400,9.376e-05,8.335e-05,8.444e-05,9.373e-05,0.62920374,7119.73530405,8.837e-05
1442404800,9.338e-05,8.302e-05,9.031e-05,9.165e-05,1.20180152,14157.59672136,8.488e-05
1442419200,9.19e-05,8.33e-05,8.331e-05,8.898e-05,2.66548632,30632.54146981,8.701e-05
1442433600,9.3e-05,8.897e-05,8.898e-05,9.02e-05,1.80812275,20007.21416114,9.037e-05
1442448000,9.4e-05,8.551e-05,9.001e-05,9.4e-05,2.57210481,28032.88906429,9.175e-05
1442462400,9.423e-05,8.551e-05,9.016e-05,8.551e-05,0.66511686,7626.26681076,8.721e-05
1442476800,8.918e-05,8.541e-05,8.801e-05,8.541e-05,3.01745889,35081.74045724,8.601e-05
1442491200,8.473e-05,8.103e-05,8.473e-05,8.212e-05,1.88025566,22967.03713181,8.186e-05
1442505600,8.716e-05,8.2e-05,8.716e-05,8.2e-05,0.49965655,6058.89990557,8.246e-05
1442520000,8.46e-05,8.1e-05,8.301e-05,8.46e-05,3.08017628,37904.38068561,8.126e-05
1442534400,8.477e-05,8.1e-05,8.106e-05,8.1e-05,1.20579493,14875.85636825,8.105e-05
1442548800,8.348e-05,8.348e-05,8.348e-05,8.348e-05,0.02112044,253,8.348e-05
1442563200,8.322e-05,8.002e-05,8.12e-05,8.002e-05,0.10494588,1278.33764558,8.209e-05
1442577600,8.005e-05,8e-05,8.005e-05,8e-05,0.39166177,4895.40846317,8e-05
1442592000,8.28e-05,7.91e-05,8.28e-05,7.91e-05,0.91467682,11434.73238842,7.999e-05
1442606400,7.91e-05,6.8e-05,7.91e-05,7.228e-05,5.54424647,77385.45750245,7.164e-05
1442620800,7.5e-05,7.101e-05,7.407e-05,7.103e-05,1.30698827,18340.43200845,7.126e-05
1442635200,7.306e-05,7.102e-05,7.102e-05,7.306e-05,0.38716304,5441.06601063,7.115e-05
1442649600,7.343e-05,6.82e-05,7.1e-05,7e-05,0.94117166,13544.79513332,6.948e-05
1442664000,7.7e-05,7.033e-05,7.033e-05,7.7e-05,1.37714538,18636.54360537,7.389e-05
1442678400,7.7e-05,7.7e-05,7.7e-05,7.7e-05,0,0,7.7e-05
1442692800,8.093e-05,6.817e-05,7.484e-05,7.716e-05,2.01211671,27156.61738636,7.409e-05
1442707200,8.1e-05,7.47e-05,7.7e-05,8.1e-05,0.64393738,8180.15864374,7.871e-05
1442721600,7.801e-05,7.3e-05,7.801e-05,7.3e-05,0.06838729,883.5007425,7.74e-05
1442736000,7.998e-05,7.317e-05,7.317e-05,7.998e-05,0.01778553,226.93733656,7.837e-05
1442750400,8e-05,7.358e-05,7.998e-05,7.358e-05,0.17940712,2383.07341884,7.528e-05
1442764800,8e-05,7.115e-05,7.361e-05,7.115e-05,0.66112016,9193.95662086,7.19e-05
1442779200,8e-05,7.311e-05,7.675e-05,7.311e-05,0.18700347,2447.16707994,7.641e-05
1442793600,7.5e-05,7.5e-05,7.5e-05,7.5e-05,0.00375,50,7.5e-05
1442808000,7.789e-05,7.255e-05,7.789e-05,7.255e-05,0.63411496,8509.57893701,7.451e-05
1442822400,7.675e-05,7.675e-05,7.675e-05,7.675e-05,0.27284625,3555,7.675e-05
1442836800,7.382e-05,7.117e-05,7.382e-05,7.117e-05,0.33009251,4601.1938406,7.174e-05
1442851200,7.399e-05,7.25e-05,7.399e-05,7.25e-05,0.01240732,169.70247242,7.311e-05
1442865600,7.525e-05,7.315e-05,7.525e-05,7.315e-05,0.02983657,400.70511631,7.446e-05
1442880000,7.691e-05,7.557e-05,7.557e-05,7.691e-05,0.8383574,10972.63251244,7.64e-05
1442894400,7.698e-05,7.698e-05,7.698e-05,7.698e-05,0.01999999,259.80774227,7.698e-05
