date,high,low,open,close,volume,quoteVolume,weightedAverage
1423512000,9.5e-07,8.4e-07,9.5e-07,8.6e-07,0.01021867,11729.23595506,8.7e-07
1423526400,8.6e-07,8.5e-07,8.5e-07,8.6e-07,0.03444192,40315.79148315,8.5e-07
1423540800,8.6e-07,8.6e-07,8.6e-07,8.6e-07,0,0,8.6e-07
1423555200,8.4e-07,8.2e-07,8.4e-07,8.2e-07,0.06271508,76350.767712,8.2e-07
1423569600,8.4e-07,8.2e-07,8.2e-07,8.4e-07,0.10042706,121741.4768967,8.2e-07
1423584000,8.5e-07,8.2e-07,8.3e-07,8.2e-07,0.02646395,31936.65630127,8.2e-07
1423598400,9e-07,8.1e-07,8.2e-07,8.1e-07,0.20358585,245189.53828869,8.3e-07
1423612800,8.3e-07,8.2e-07,8.2e-07,8.2e-07,0.20299856,247552.1850075,8.2e-07
1423627200,8.2e-07,8.2e-07,8.2e-07,8.2e-07,0,0,8.2e-07
1423641600,8.1e-07,7.9e-07,8.1e-07,7.9e-07,0.04737474,59052.33501068,8e-07
1423656000,8.1e-07,7.9e-07,7.9e-07,7.9e-07,0.03655739,45857.960892,7.9e-07
1423670400,9.4e-07,8e-07,8e-07,9.4e-07,0.29145537,313901.63622906,9.2e-07
1423684800,8e-07,8e-07,8e-07,8e-07,0.04008472,50105.910061,8e-07
1423699200,8.3e-07,8e-07,8e-07,8.2e-07,0.01863008,22611.33670094,8.2e-07
1423713600,8e-07,7.8e-07,8e-07,7.8e-07,0.01229126,15471.38661204,7.9e-07
1423728000,8.1e-07,8e-07,8e-07,8.1e-07,0.00051586,643.14572904,8e-07
1423742400,8.5e-07,8.3e-07,8.3e-07,8.4e-07,0.03229063,38510.22447197,8.3e-07
1423756800,8.4e-07,8.4e-07,8.4e-07,8.4e-07,0.03097399,36873.80924692,8.4e-07
1423771200,8.2e-07,7.9e-07,8e-07,8.1e-07,0.02920108,36138.44897332,8e-07
1423785600,8.1e-07,8.1e-07,8.1e-07,8.1e-07,0,0,8.1e-07
1423800000,7.9e-07,7.9e-07,7.9e-07,7.9e-07,0.00329577,4171.87141126,7.9e-07
1423814400,8e-07,7.7e-07,7.9e-07,7.8e-07,0.03164315,40447.59601246,7.8e-07
1423828800,7.9e-07,7.4e-07,7.9e-07,7.5e-07,0.03711339,49203.01424344,7.5e-07
1423843200,8.1e-07,7e-07,7.3e-07,7e-07,0.05272854,69544.47434751,7.5e-07
1423857600,7.9e-07,7.4e-07,7.9e-07,7.9e-07,0.02962188,37526.8659624,7.8e-07
1423872000,7.5e-07,7.5e-07,7.5e-07,7.5e-07,0.0007485,998,7.5e-07
1423886400,7.9e-07,7e-07,7.9e-07,7e-07,0.01976383,27385.3859257,7.2e-07
1423900800,7.5e-07,7e-07,7.3e-07,7.3e-07,0.01018987,13930.99787365,7.3e-07
1423915200,7.5e-07,7.2e-07,7.2e-07,7.3e-07,0.10758295,143880.89428978,7.4e-07
1423929600,7.5e-07,7.3e-07,7.3e-07,7.3e-07,0.1039602,141269.3946129,7.3e-07
1423944000,7.5e-07,7.4e-07,7.4e-07,7.5e-07,0.00777684,10502.46251124,7.4e-07
1423958400,7.6e-07,7e-07,7.2e-07,7e-07,0.1176005,162474.0986251,7.2e-07
1423972800,7e-07,7e-07,7e-07,7e-07,0.00501759,7167.9906627,7e-07
1423987200,7e-07,7e-07,7e-07,7e-07,0.00108311,1547.3135392,7e-07
1424001600,7e-07,6.7e-07,7e-07,6.7e-07,0.07592467,109889.22792682,6.9e-07
1424016000,7.4e-07,6.7e-07,6.7e-07,7.4e-07,0.00142074,1935.4660562,7.3e-07
1424030400,6.2e-07,5.3e-07,5.8e-07,5.3e-07,0.0442354,79442.10239711,5.5e-07
1424044800,5.9e-07,5.4e-07,5.8e-07,5.6e-07,0.09431242,165533.87268036,5.6e-07
1424059200,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.00078,1500,5.2e-07
1424073600,8e-07,5.1e-07,5.2e-07,8e-07,0.17412036,253974.12039877,6.8e-07
1424088000,5.7e-07,5.5e-07,5.6e-07,5.7e-07,0.00506549,8910.85357143,5.6e-07
1424102400,6.1e-07,5.5e-07,5.5e-07,6.1e-07,0.07247254,124913.01564757,5.8e-07
1424116800,6.5e-07,6.3e-07,6.5e-07,6.3e-07,0.03975928,62552.22167886,6.3e-07
1424131200,5.8e-07,5.8e-07,5.8e-07,5.8e-07,0.00811609,13993.27257604,5.8e-07
1424145600,6e-07,5.7e-07,5.7e-07,5.8e-07,0.10800204,188724.42037357,5.7e-07
1424160000,6e-07,6e-07,6e-07,6e-07,0.00099668,1661.1426656,6e-07
1424174400,5.9e-07,5.7e-07,5.8e-07,5.8e-07,0.01622971,28183.46459512,5.7e-07
1424188800,5.8e-07,5.1e-07,5.8e-07,5.1e-07,0.02309333,42167.71951573,5.4e-07
1424203200,5.3e-07,4.8e-07,5.1e-07,4.9e-07,0.08642333,167799.19440906,5.1e-07
1424217600,5.3e-07,5e-07,5e-07,5.3e-07,0.07459111,141982.22061127,5.2e-07
1424232000,5e-07,4.9e-07,4.9e-07,5e-07,0.00239724,4799.22818187,4.9e-07
1424246400,5.1e-07,4.5e-07,4.9e-07,4.6e-07,0.0381549,79567.51253155,4.7e-07
1424260800,4.9e-07,4.2e-07,4.9e-07,4.7e-07,0.04614391,99165.43700836,4.6e-07
1424275200,5e-07,4.5e-07,4.5e-07,5e-07,0.02214041,46081.11690699,4.8e-07
1424289600,5e-07,4.8e-07,5e-07,4.8e-07,0.00262558,5451.16,4.8e-07
1424304000,5e-07,4.6e-07,4.8e-07,5e-07,0.04684622,96963.58130294,4.8e-07
1424318400,4.7e-07,4.7e-07,4.7e-07,4.7e-07,0.0094,20000,4.7e-07
1424332800,4.9e-07,4.6e-07,4.9e-07,4.6e-07,0.01846624,39563.87840483,4.6e-07
1424347200,4.8e-07,4.3e-07,4.6e-07,4.4e-07,0.06015688,129386.89628446,4.6e-07
1424361600,4.9e-07,4.2e-07,4.4e-07,4.7e-07,0.08468353,182179.71525116,4.6e-07
1424376000,4.6e-07,4.6e-07,4.6e-07,4.6e-07,0.00186484,4054,4.6e-07
1424390400,4.8e-07,4.5e-07,4.6e-07,4.5e-07,0.11567784,253169.33026869,4.5e-07
1424404800,4.7e-07,4.4e-07,4.5e-07,4.4e-07,0.03127111,69240.65852501,4.5e-07
1424419200,4.4e-07,4.4e-07,4.4e-07,4.4e-07,0,0,4.4e-07
1424433600,4.7e-07,4.6e-07,4.6e-07,4.7e-07,0.00564265,12157.935723,4.6e-07
1424448000,4.7e-07,4.7e-07,4.7e-07,4.7e-07,0,0,4.7e-07
1424462400,4.6e-07,4.3e-07,4.6e-07,4.3e-07,0.04518074,101539.34794837,4.4e-07
1424476800,4.4e-07,4.3e-07,4.3e-07,4.4e-07,0.04018444,91911.95756254,4.3e-07
1424491200,4.3e-07,4.2e-07,4.3e-07,4.2e-07,0.00953258,22298.97537641,4.2e-07
1424505600,4.2e-07,4.1e-07,4.2e-07,4.1e-07,0.00700413,16790.11960838,4.1e-07
1424520000,4.4e-07,4.2e-07,4.2e-07,4.3e-07,0.00262119,6037.6720282,4.3e-07
1424534400,4.8e-07,4.3e-07,4.5e-07,4.8e-07,0.02441173,52942.818654,4.6e-07
1424548800,4.6e-07,4.6e-07,4.6e-07,4.6e-07,0.0738188,160475.67104102,4.6e-07
1424563200,4.4e-07,4.4e-07,4.4e-07,4.4e-07,0.01437671,32674.34702275,4.4e-07
1424577600,4.5e-07,4.4e-07,4.4e-07,4.5e-07,0.05692354,127949.0829725,4.4e-07
1424592000,4.6e-07,4.4e-07,4.5e-07,4.5e-07,0.09875323,220918.59061683,4.4e-07
1424606400,4.9e-07,4.5e-07,4.5e-07,4.6e-07,0.02760257,57970.48074854,4.7e-07
1424620800,5.6e-07,4.7e-07,5e-07,5e-07,0.08655668,167192.39715766,5.1e-07
1424635200,6.6e-07,5e-07,5.5e-07,6.6e-07,0.10270064,166284.34464076,6.1e-07
1424649600,6.4e-07,4.7e-07,6.1e-07,5e-07,0.22770517,454768.57983938,5e-07
1424664000,5.7e-07,4.7e-07,4.7e-07,5e-07,0.05767782,109907.53246084,5.2e-07
1424678400,6.5e-07,5.2e-07,5.3e-07,6.5e-07,0.27661081,478261.96315159,5.7e-07
1424692800,7.9e-07,5.8e-07,6.3e-07,6.1e-07,0.14572656,204450.4930148,7.1e-07
1424707200,8e-07,6.7e-07,6.7e-07,8e-07,0.01782959,24398.79723505,7.3e-07
