date,high,low,open,close,volume,quoteVolume,weightedAverage
1405699200,4.1e-07,4e-07,4.1e-07,4e-07,0.09569362,236396.17182914,4e-07
1405713600,4e-07,3.9e-07,4e-07,3.9e-07,0.51565841,1320818.9575648,3.9e-07
1405728000,4e-07,3.9e-07,3.9e-07,3.9e-07,0.32214413,825502.37834187,3.9e-07
1405742400,4e-07,3.8e-07,3.9e-07,4e-07,0.07531935,196863.82319952,3.8e-07
1405756800,4e-07,3.8e-07,4e-07,3.9e-07,0.17724834,463500.89662822,3.8e-07
1405771200,3.9e-07,3.8e-07,3.9e-07,3.9e-07,0.05720718,148542.8575779,3.8e-07
1405785600,3.9e-07,3.7e-07,3.8e-07,3.7e-07,0.17807124,468762.40260952,3.7e-07
1405800000,4.4e-07,3.8e-07,3.9e-07,4.4e-07,0.18936054,466366.58415375,4e-07
1405814400,4.1e-07,3.8e-07,4.1e-07,3.8e-07,0.0533757,136175.41528181,3.9e-07
1405828800,3.9e-07,3.7e-07,3.8e-07,3.9e-07,0.04210231,108084.53827267,3.8e-07
1405843200,3.9e-07,3.7e-07,3.9e-07,3.7e-07,0.01445539,38594.3262273,3.7e-07
1405857600,3.9e-07,3.7e-07,3.7e-07,3.7e-07,0.0368633,99476.64588716,3.7e-07
1405872000,3.9e-07,3.8e-07,3.8e-07,3.8e-07,0.01499689,39196.86392524,3.8e-07
1405886400,3.9e-07,3.8e-07,3.8e-07,3.8e-07,0.04836143,126987.92766293,3.8e-07
1405900800,3.9e-07,3.8e-07,3.9e-07,3.8e-07,0.82232243,2163966.3907595,3.8e-07
1405915200,3.9e-07,3.8e-07,3.8e-07,3.9e-07,0.46672865,1223890.8912566,3.8e-07
1405929600,3.9e-07,3.7e-07,3.8e-07,3.8e-07,0.45777378,1203580.2413564,3.8e-07
1405944000,4.1e-07,3.8e-07,3.9e-07,3.9e-07,0.48603251,1250538.3269794,3.8e-07
1405958400,3.9e-07,3.8e-07,3.8e-07,3.9e-07,0.23859721,627814.14573655,3.8e-07
1405972800,4.1e-07,3.8e-07,3.8e-07,3.9e-07,0.21690383,547124.46472889,3.9e-07
1405987200,3.9e-07,3.8e-07,3.9e-07,3.9e-07,0.05751131,148422.78980411,3.8e-07
1406001600,3.9e-07,3.7e-07,3.9e-07,3.7e-07,0.03100877,83283.95915633,3.7e-07
1406016000,3.8e-07,3.7e-07,3.8e-07,3.8e-07,0.04994921,134943.74197621,3.7e-07
1406030400,3.9e-07,3.5e-07,3.7e-07,3.5e-07,0.27984109,757493.25776058,3.6e-07
1406044800,3.6e-07,3.5e-07,3.5e-07,3.5e-07,0.09830923,278174.0348082,3.5e-07
1406059200,3.8e-07,3.4e-07,3.6e-07,3.5e-07,0.50671953,1425736.1273655,3.5e-07
1406073600,3.7e-07,3.5e-07,3.5e-07,3.7e-07,0.09224588,255386.84830485,3.6e-07
1406088000,3.7e-07,3.6e-07,3.7e-07,3.6e-07,0.16493234,453049.67078702,3.6e-07
1406102400,3.7e-07,3.5e-07,3.6e-07,3.5e-07,0.36442431,1014278.1054711,3.5e-07
1406116800,3.8e-07,3.5e-07,3.6e-07,3.6e-07,0.16697693,465348.85275666,3.5e-07
1406131200,3.8e-07,3.6e-07,3.6e-07,3.6e-07,0.13848448,373410.59580716,3.7e-07
1406145600,3.8e-07,3.6e-07,3.7e-07,3.6e-07,0.06174303,169266.89283306,3.6e-07
1406160000,3.7e-07,3.5e-07,3.6e-07,3.5e-07,0.07475704,209890.55031029,3.5e-07
1406174400,3.6e-07,3.5e-07,3.5e-07,3.5e-07,0.25767981,727147.71713751,3.5e-07
1406188800,3.7e-07,3.5e-07,3.6e-07,3.5e-07,0.13373969,371992.76351008,3.5e-07
1406203200,3.6e-07,3.5e-07,3.6e-07,3.6e-07,0.21087414,590453.16635154,3.5e-07
1406217600,3.7e-07,3.5e-07,3.6e-07,3.6e-07,0.29970198,831986.72308988,3.6e-07
1406232000,3.7e-07,3.5e-07,3.7e-07,3.6e-07,0.06608406,188411.27396319,3.5e-07
1406246400,3.6e-07,3.5e-07,3.5e-07,3.6e-07,0.06313291,177490.85447233,3.5e-07
1406260800,3.6e-07,3.5e-07,3.5e-07,3.6e-07,0.00827177,23590.62888888,3.5e-07
1406275200,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.02594266,74121.91123466,3.5e-07
1406289600,4e-07,3.5e-07,3.5e-07,3.6e-07,0.57487086,1519150.0279774,3.7e-07
1406304000,3.8e-07,3.5e-07,3.6e-07,3.5e-07,0.05851867,159601.32087659,3.6e-07
1406318400,3.9e-07,3.5e-07,3.6e-07,3.5e-07,0.15190105,421935.03568613,3.6e-07
1406332800,3.6e-07,3.5e-07,3.5e-07,3.5e-07,0.02065866,58980.23764403,3.5e-07
1406347200,3.7e-07,3.5e-07,3.6e-07,3.6e-07,0.04811273,134458.41611116,3.5e-07
1406361600,3.6e-07,3.4e-07,3.6e-07,3.6e-07,0.08501007,241012.49999999,3.5e-07
1406376000,3.6e-07,3.1e-07,3.5e-07,3.4e-07,0.597385,1767939.357171,3.3e-07
1406390400,3.5e-07,3.3e-07,3.4e-07,3.4e-07,0.23097348,690848.26966033,3.3e-07
1406404800,3.7e-07,3.4e-07,3.4e-07,3.6e-07,0.09441637,270321.18338691,3.4e-07
1406419200,3.6e-07,3.4e-07,3.5e-07,3.6e-07,0.01523655,43253.82142857,3.5e-07
1406433600,3.5e-07,3.4e-07,3.5e-07,3.4e-07,0.05645501,165881.33089335,3.4e-07
1406448000,3.6e-07,3.4e-07,3.4e-07,3.6e-07,0.09827428,283490.41742882,3.4e-07
1406462400,3.7e-07,3.5e-07,3.6e-07,3.7e-07,0.04322247,119548.53666246,3.6e-07
1406476800,3.7e-07,3.6e-07,3.6e-07,3.6e-07,0.10546936,292069.2938056,3.6e-07
1406491200,3.8e-07,3.6e-07,3.8e-07,3.6e-07,0.42254488,1159452.9793269,3.6e-07
1406505600,3.9e-07,3.6e-07,3.6e-07,3.7e-07,0.32889699,862012.37505783,3.8e-07
1406520000,3.7e-07,3.6e-07,3.7e-07,3.6e-07,0.13028136,361049.22747477,3.6e-07
1406534400,3.8e-07,3.5e-07,3.5e-07,3.6e-07,0.06113078,166889.73716055,3.6e-07
1406548800,3.9e-07,3.3e-07,3.6e-07,3.3e-07,0.43085673,1227228.0534924,3.5e-07
1406563200,3.5e-07,3.4e-07,3.4e-07,3.5e-07,0.49739729,1446585.158654,3.4e-07
1406577600,3.5e-07,3.4e-07,3.5e-07,3.4e-07,0.08421105,242513.82637642,3.4e-07
1406592000,3.6e-07,3.4e-07,3.4e-07,3.6e-07,0.13857229,397247.698336,3.4e-07
1406606400,3.6e-07,3.5e-07,3.5e-07,3.5e-07,0.11773314,336348.73481617,3.5e-07
1406620800,3.6e-07,3.5e-07,3.6e-07,3.6e-07,0.03152703,87888.8814362,3.5e-07
1406635200,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.00356084,10173.82857143,3.5e-07
1406649600,3.6e-07,3.5e-07,3.5e-07,3.5e-07,0.12273114,346944.62866939,3.5e-07
1406664000,3.6e-07,3.5e-07,3.5e-07,3.5e-07,0.03321151,94392.15224992,3.5e-07
1406678400,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.05190668,148304.81113049,3.5e-07
1406692800,3.6e-07,3.4e-07,3.5e-07,3.4e-07,0.01717496,49200,3.4e-07
1406707200,3.6e-07,3.4e-07,3.6e-07,3.4e-07,0.00133517,3823.57926737,3.4e-07
1406721600,3.5e-07,3.4e-07,3.4e-07,3.4e-07,0.19902653,576422.85357059,3.4e-07
1406736000,3.5e-07,3.4e-07,3.4e-07,3.4e-07,0.09255592,264788.23467644,3.4e-07
1406750400,3.5e-07,3.4e-07,3.4e-07,3.4e-07,0.07627476,218906.77734298,3.4e-07
1406764800,3.5e-07,3.4e-07,3.5e-07,3.4e-07,0.1041015,305563.89510447,3.4e-07
1406779200,3.5e-07,3.4e-07,3.4e-07,3.4e-07,0.33592167,983270.60107457,3.4e-07
1406793600,3.6e-07,3.4e-07,3.4e-07,3.5e-07,0.43287246,1234432.3370258,3.5e-07
1406808000,3.6e-07,3.5e-07,3.5e-07,3.5e-07,0.02834308,80971.67098516,3.5e-07
1406822400,3.6e-07,3.5e-07,3.5e-07,3.6e-07,0.27703232,775590.98181242,3.5e-07
1406836800,3.6e-07,3.5e-07,3.6e-07,3.5e-07,0.0866514,247435.4617978,3.5e-07
1406851200,3.6e-07,3.5e-07,3.6e-07,3.5e-07,0.22430932,635140.27608785,3.5e-07
1406865600,3.6e-07,3.5e-07,3.6e-07,3.6e-07,0.01637034,46471.8026982,3.5e-07
1406880000,3.6e-07,3.5e-07,3.5e-07,3.5e-07,0.20790827,593812.5348965,3.5e-07
1406894400,3.6e-07,3.4e-07,3.6e-07,3.5e-07,0.12503499,353664.29189157,3.5e-07
1406908800,3.7e-07,3.5e-07,3.6e-07,3.5e-07,0.08238154,228909.21978554,3.5e-07
1406923200,3.6e-07,3.5e-07,3.5e-07,3.5e-07,0.08116496,231540.67961842,3.5e-07
