date,high,low,open,close,volume,quoteVolume,weightedAverage
1442462400,0.01,0.00071,0.00071,0.00220006,9.93791456,3743.2397779,0.00265489
1442476800,0.0028,0.001001,0.00229997,0.00209899,26.30505841,15339.73101321,0.00171483
1442491200,0.00199999,0.00160002,0.00182019,0.0018,12.9724062,7381.56800395,0.0017574
1442505600,0.00183968,0.0015101,0.00161267,0.0016,16.06462416,9866.25102774,0.00162823
1442520000,0.00165692,0.00115105,0.0015101,0.001425,12.98401565,9304.36418422,0.00139547
1442534400,0.00144896,0.001211,0.00138001,0.001211,6.04271177,4669.71169046,0.00129402
1442548800,0.00144884,0.001255,0.00128999,0.00130005,8.76213788,6616.57340394,0.00132427
1442563200,0.00154984,0.00128,0.00130005,0.00143143,7.25377686,5251.34196812,0.00138131
1442577600,0.00158887,0.00134101,0.00143143,0.00147,10.960113,7383.05449755,0.00148449
1442592000,0.00143385,0.00136158,0.00143385,0.00141,2.16069933,1560.82190538,0.00138433
1442606400,0.00138,0.001201,0.00137,0.00120101,12.11766086,9684.94949748,0.00125118
1442620800,0.00130709,0.00121,0.00121,0.00121005,2.72740253,2152.32399533,0.00126718
1442635200,0.00124731,0.001185,0.00121005,0.00121,7.29541544,5996.93214398,0.00121652
1442649600,0.00121917,0.00116302,0.00119,0.00116303,5.62098094,4703.63939552,0.00119502
1442664000,0.00119,0.00104665,0.00116303,0.00104665,4.35029141,3864.53163161,0.00112569
1442678400,0.00122,0.00106,0.00109001,0.00107008,3.48313201,3029.60329005,0.00114969
1442692800,0.00114005,0.00105,0.00107004,0.00114005,1.84280234,1712.28404342,0.00107622
1442707200,0.00114997,0.00105,0.00113843,0.00105,0.93092478,840.8616786,0.0011071
1442721600,0.00105001,0.00092,0.00105,0.00092001,5.43393489,5608.8489704,0.00096881
1442736000,0.00097369,0.0009,0.00092001,0.00090014,4.79462286,5231.43333749,0.0009165
1442750400,0.0009499,0.0009,0.00090013,0.000901,3.41915776,3769.0637688,0.00090716
1442764800,0.000915,0.00067001,0.00090102,0.00067001,9.2221013,11812.37931408,0.00078071
1442779200,0.0008,0.00067,0.00072831,0.00070803,1.60928498,2166.31356345,0.00074286
1442793600,0.00073,0.00070803,0.00070803,0.00072,0.18619603,258.29944207,0.00072085
1442808000,0.00073983,0.00068013,0.00070807,0.00071033,2.38469846,3336.00371295,0.00071483
1442822400,0.00078995,0.00069,0.00073996,0.00078799,0.09432288,130.62927053,0.00072206
1442836800,0.00078299,0.0007002,0.00070021,0.00072001,0.3857426,541.88164036,0.00071185
1442851200,0.00077999,0.00069008,0.00072399,0.00077614,6.54707905,9160.34754069,0.00071471
1442865600,0.00089922,0.00071006,0.00077547,0.00089563,3.2567543,4107.36280347,0.0007929
1442880000,0.00089714,0.00076077,0.00089714,0.00080675,0.1764592,226.78605633,0.00077808
1442894400,0.00080315,0.00072103,0.00077048,0.00072244,0.33417946,438.12200859,0.00076275
1442908800,0.000795,0.0007248,0.0007248,0.00073299,0.16188994,218.61194046,0.00074053
1442923200,0.00079579,0.00073165,0.00076,0.00073166,0.46710786,624.40483409,0.00074808
1442937600,0.00080891,0.00073166,0.00073166,0.00074757,0.41969331,532.41153293,0.00078828
1442952000,0.00080254,0.0007465,0.0007475,0.000767,0.60697729,812.3916215,0.00074714
1442966400,0.00079801,0.00079775,0.00079775,0.00079801,0.00717072,8.98795803,0.00079781
1442980800,0.00080711,0.00079801,0.00079801,0.0008,0.37859171,471.67878078,0.00080264
1442995200,0.00077503,0.00074676,0.00077503,0.00074676,0.08430558,110.58878697,0.00076233
1443009600,0.00074676,0.0007185,0.00074676,0.00074,0.58126088,790.46693042,0.00073533
1443024000,0.000749,0.00071863,0.00071978,0.00074001,0.12462925,169.81242244,0.00073392
1443038400,0.00074001,0.00071861,0.00074001,0.00071861,1.1732843,1589.35698102,0.00073821
1443052800,0.00073957,0.00071861,0.00073957,0.00071863,0.08956151,122.95083429,0.00072843
1443067200,0.00072,0.00071295,0.00071862,0.00071444,0.36737061,512.09022314,0.00071739
1443081600,0.00072899,0.00065001,0.000713,0.00070056,1.66479752,2470.03946666,0.00067399
1443096000,0.00070056,0.00060003,0.00070056,0.00060004,0.38631536,624.41139439,0.00061868
1443110400,0.00060499,0.00036199,0.00060001,0.000558,3.78261576,6730.83332084,0.00056198
1443124800,0.00072054,0.00053602,0.000558,0.00062399,1.94823982,3248.4124678,0.00059975
