date,high,low,open,close,volume,quoteVolume,weightedAverage
1421380800,9.684e-05,1.51e-06,9.684e-05,3.8e-06,0.1502555,87852.49328335,1.71e-06
1421395200,6.25e-06,2.57e-06,3.9e-06,5.98e-06,0.29706426,105306.85814741,2.82e-06
1421409600,5.99e-06,1.62e-06,5.99e-06,2.23e-06,1.06060251,516867.17635222,2.05e-06
1421424000,1e-05,1.61e-06,2.24e-06,6.27e-06,3.58112864,867005.94101025,4.13e-06
1421438400,5.77e-06,3.75e-06,5.77e-06,4.22e-06,1.56923725,375029.41042807,4.18e-06
1421452800,4.29e-06,2.91e-06,3.75e-06,2.91e-06,1.43782733,407598.28950084,3.52e-06
1421467200,4.2e-06,2.94e-06,3.19e-06,3.26e-06,1.90756108,536792.04413232,3.55e-06
1421481600,3.89e-06,3.24e-06,3.25e-06,3.57e-06,0.70640862,204623.49461718,3.45e-06
1421496000,3.39e-06,3.01e-06,3.39e-06,3.16e-06,0.69267145,216459.51345985,3.2e-06
1421510400,3.73e-06,2.26e-06,3.08e-06,2.93e-06,2.9309529,1092276.1582714,2.68e-06
1421524800,2.79e-06,1.71e-06,2.78e-06,2.07e-06,2.84030467,1468427.9701137,1.93e-06
1421539200,3.8e-06,2e-06,2.07e-06,3.34e-06,4.09472994,1486744.3772628,2.75e-06
1421553600,3.43e-06,2.71e-06,2.8e-06,2.94e-06,1.13101391,371766.82164352,3.04e-06
1421568000,2.98e-06,2.48e-06,2.84e-06,2.48e-06,1.6688214,606805.02319408,2.75e-06
1421582400,3.25e-06,2.44e-06,2.44e-06,2.99e-06,1.02234414,353111.05497469,2.89e-06
1421596800,3e-06,1.86e-06,2.99e-06,1.95e-06,4.10069794,1902476.4433559,2.15e-06
1421611200,2.8e-06,1.91e-06,2.34e-06,2.39e-06,1.54846844,643430.61910913,2.4e-06
1421625600,3.43e-06,2.33e-06,2.33e-06,2.71e-06,3.50709245,1184425.2384069,2.96e-06
1421640000,2.68e-06,2.19e-06,2.41e-06,2.52e-06,0.17414383,69885.04744046,2.49e-06
1421654400,2.58e-06,2.13e-06,2.52e-06,2.13e-06,0.34740802,147926.38584458,2.34e-06
1421668800,3.11e-06,1.99e-06,2.17e-06,2.69e-06,7.67501538,3189579.3710685,2.4e-06
1421683200,2.64e-06,2e-06,2.34e-06,2.27e-06,1.59642901,653599.02377558,2.44e-06
1421697600,2.62e-06,2.34e-06,2.35e-06,2.6e-06,0.75643325,304448.90586023,2.48e-06
1421712000,2.81e-06,2.47e-06,2.53e-06,2.61e-06,5.43225358,2138591.4847267,2.54e-06
1421726400,2.61e-06,2.23e-06,2.61e-06,2.37e-06,1.03846322,421925.97456868,2.46e-06
1421740800,2.33e-06,2.23e-06,2.33e-06,2.23e-06,0.27706665,120790.44932449,2.29e-06
1421755200,2.81e-06,2.21e-06,2.22e-06,2.54e-06,1.5871496,619525.18396733,2.56e-06
1421769600,2.78e-06,2.41e-06,2.57e-06,2.42e-06,1.59684471,624364.19481659,2.55e-06
1421784000,2.65e-06,2.19e-06,2.41e-06,2.19e-06,1.97701081,825623.28224908,2.39e-06
