date,high,low,open,close,volume,quoteVolume,weightedAverage
1426089600,3.04e-06,3.04e-06,3.04e-06,3.04e-06,0.00015419,50.72039474,3.04e-06
1426104000,5e-06,3.66e-06,4.9e-06,3.68e-06,0.1410416,31215.07610166,4.51e-06
1426118400,4.62e-06,3.68e-06,3.68e-06,4.6e-06,0.0257459,6260.95644542,4.11e-06
1426132800,5.5e-06,3.81e-06,4.24e-06,4.04e-06,0.15013799,30968.87765384,4.84e-06
1426147200,5.5e-06,4.2e-06,5.24e-06,4.3e-06,0.03583212,8046.41194464,4.45e-06
1426161600,4.97e-06,4.22e-06,4.3e-06,4.25e-06,0.1428357,32966.91472071,4.33e-06
1426176000,5.44e-06,4.25e-06,4.25e-06,4.56e-06,0.10092329,21329.51677941,4.73e-06
1426190400,4.59e-06,4.56e-06,4.56e-06,4.58e-06,0.017393,3800,4.57e-06
1426204800,5e-06,4.22e-06,4.58e-06,4.5e-06,0.18406165,41859.80837748,4.39e-06
1426219200,4.5e-06,4.34e-06,4.5e-06,4.34e-06,0.0026553,597.13008764,4.44e-06
1426233600,4.76e-06,4.23e-06,4.5e-06,4.75e-06,0.070405,16451.99989061,4.27e-06
1426248000,4.23e-06,3.51e-06,4.23e-06,4.22e-06,0.07599225,18072.56880592,4.2e-06
1426262400,4.75e-06,3.52e-06,4.13e-06,3.52e-06,0.14760628,41613.04099687,3.54e-06
1426276800,4.04e-06,3.05e-06,3.53e-06,3.59e-06,0.02386801,6531.59292485,3.65e-06
1426291200,3.61e-06,3.03e-06,3.07e-06,3.43e-06,0.16422664,49034.72703243,3.34e-06
1426305600,3.44e-06,3.02e-06,3.43e-06,3.44e-06,0.04340887,14089.58710394,3.08e-06
1426320000,3.45e-06,3.1e-06,3.1e-06,3.3e-06,0.00167265,505.07918248,3.31e-06
1426334400,3.62e-06,3.45e-06,3.45e-06,3.62e-06,0.02647478,7352.26876003,3.6e-06
1426348800,3.85e-06,3.12e-06,3.85e-06,3.4e-06,0.06553946,19656.50126676,3.33e-06
1426363200,3.38e-06,3.22e-06,3.38e-06,3.23e-06,0.03880191,12011.40750819,3.23e-06
1426377600,3.25e-06,3.09e-06,3.25e-06,3.09e-06,0.00211677,680.04242424,3.11e-06
1426392000,3.3e-06,3.3e-06,3.3e-06,3.3e-06,0.00044005,133.35151515,3.3e-06
1426406400,3.3e-06,3.3e-06,3.3e-06,3.3e-06,0.00099285,300.86491738,3.3e-06
1426420800,3.32e-06,3.17e-06,3.17e-06,3.32e-06,0.01771783,5554.52386979,3.18e-06
1426435200,3.31e-06,3.03e-06,3.22e-06,3.31e-06,0.4460576,141900.12662995,3.14e-06
1426449600,3.65e-06,3.02e-06,3.04e-06,3.02e-06,0.04949326,15812.18133815,3.13e-06
1426464000,3.02e-06,3.02e-06,3.02e-06,3.02e-06,0,0,3.02e-06
1426478400,3.02e-06,3.02e-06,3.02e-06,3.02e-06,0,0,3.02e-06
1426492800,3.09e-06,3.09e-06,3.09e-06,3.09e-06,0.00027563,89.20328184,3.09e-06
1426507200,3.1e-06,2.86e-06,3.1e-06,2.93e-06,0.06501682,21656.36402443,3e-06
1426521600,3.78e-06,2.89e-06,2.95e-06,3.08e-06,0.21025988,60914.71651574,3.45e-06
1426536000,3.96e-06,3.36e-06,3.46e-06,3.36e-06,0.00550301,1453.88025557,3.78e-06
1426550400,3.34e-06,3.08e-06,3.33e-06,3.11e-06,0.02466265,7684.33959274,3.2e-06
1426564800,3.11e-06,3.11e-06,3.11e-06,3.11e-06,0,0,3.11e-06
1426579200,3.31e-06,3.08e-06,3.14e-06,3.31e-06,0.01141397,3612.63341157,3.15e-06
1426593600,3.63e-06,3.28e-06,3.31e-06,3.28e-06,0.00291788,864.30268324,3.37e-06
1426608000,1.158e-05,3.3e-06,3.6e-06,4.39e-06,0.57224484,91309.81737848,6.26e-06
1426622400,6.43e-06,4.15e-06,4.27e-06,4.15e-06,0.05733901,12231.03514286,4.68e-06
1426636800,4.01e-06,3.64e-06,4.01e-06,3.64e-06,0.00767243,1984.8776,3.86e-06
1426651200,3.9e-06,3.73e-06,3.73e-06,3.81e-06,0.00920956,2406.09803823,3.82e-06
1426665600,4e-06,3.92e-06,3.92e-06,4e-06,0.03692361,9349.25894535,3.94e-06
1426680000,4.56e-06,3.87e-06,3.9e-06,4.56e-06,0.01923337,4287.80158857,4.48e-06
1426694400,4.1e-06,3.76e-06,3.88e-06,4.1e-06,0.03342866,8652.85666449,3.86e-06
1426708800,4.19e-06,3.75e-06,3.99e-06,3.75e-06,0.0397791,10048.71025451,3.95e-06
1426723200,4.44e-06,3.75e-06,3.75e-06,4.44e-06,0.0243942,5944.74725528,4.1e-06
1426737600,4.96e-06,3.84e-06,4.21e-06,3.84e-06,0.04528473,11088.7801042,4.08e-06
1426752000,4.52e-06,2e-06,4.01e-06,3.7e-06,0.20109245,57680.07226654,3.48e-06
1426766400,3.82e-06,3.21e-06,3.56e-06,3.81e-06,0.01847686,5481.80331106,3.37e-06
1426780800,3.81e-06,3.25e-06,3.8e-06,3.25e-06,0.03736705,11129.75584858,3.35e-06
1426795200,3.78e-06,3.21e-06,3.25e-06,3.78e-06,0.12796771,36706.8529017,3.48e-06
1426809600,3.84e-06,3.44e-06,3.77e-06,3.55e-06,0.18066809,50428.75683989,3.58e-06
1426824000,3.55e-06,3.55e-06,3.55e-06,3.55e-06,0,0,3.55e-06
1426838400,3.55e-06,3.55e-06,3.55e-06,3.55e-06,0,0,3.55e-06
1426852800,4.26e-06,3.55e-06,3.55e-06,4.26e-06,0.09915978,25049.89672703,3.95e-06
1426867200,3.86e-06,3.85e-06,3.86e-06,3.85e-06,0.05198105,13499.89008599,3.85e-06
1426881600,4.92e-06,3.85e-06,3.85e-06,4.39e-06,0.10223563,26128.88525393,3.91e-06
1426896000,4.31e-06,4.26e-06,4.27e-06,4.31e-06,0.00030999,72.41920375,4.28e-06
1426910400,4.4e-06,4.26e-06,4.26e-06,4.4e-06,0.02859304,6534.78630921,4.37e-06
1426924800,5.12e-06,4.05e-06,4.07e-06,5.12e-06,0.10229496,22687.23792524,4.5e-06
