date,high,low,open,close,volume,quoteVolume,weightedAverage
1419220800,7e-06,1e-06,1e-06,6.98e-06,0.01088248,1737,6.26e-06
1419235200,6.7e-06,2.25e-06,6.7e-06,3.14e-06,0.06192261,15677.61836312,3.94e-06
1419249600,5.99e-06,2.8e-06,2.8e-06,4.05e-06,3.26093122,741490.30959096,4.39e-06
1419264000,4.33e-06,2e-06,4.07e-06,3.85e-06,5.07677735,1957647.5298209,2.59e-06
1419278400,4.26e-06,2.74e-06,3.85e-06,3.75e-06,1.56394401,467865.49855293,3.34e-06
1419292800,4.16e-06,2.95e-06,4.16e-06,3.19e-06,4.65473187,1500691.6143481,3.1e-06
1419307200,3.91e-06,2.71e-06,3.26e-06,3.05e-06,2.1421286,686385.02192828,3.12e-06
1419321600,3.51e-06,2.11e-06,3.08e-06,2.3e-06,5.74555708,2285952.3984756,2.51e-06
1419336000,6.75e-06,1.11e-06,2.29e-06,2.05e-06,9.67954147,3116681.5680515,3.1e-06
1419350400,3.94e-06,2.11e-06,2.27e-06,2.79e-06,7.79743528,2728576.5207802,2.85e-06
1419364800,2.83e-06,2e-06,2.7e-06,2.5e-06,4.5580245,2001220.065778,2.27e-06
1419379200,2.88e-06,2.09e-06,2.49e-06,2.13e-06,1.3281297,496469.18407322,2.67e-06
1419393600,2.42e-06,2.14e-06,2.16e-06,2.29e-06,0.08099509,35169.09760102,2.3e-06
1419408000,3.19e-06,2.23e-06,2.23e-06,2.7e-06,3.02138979,1049978.7530128,2.87e-06
1419422400,3e-06,2.37e-06,2.7e-06,2.67e-06,0.84221243,306138.77824425,2.75e-06
1419436800,3.18e-06,2.56e-06,2.71e-06,2.56e-06,1.92829285,730459.05533449,2.63e-06
1419451200,3.02e-06,2.38e-06,2.58e-06,2.45e-06,1.41143001,532983.98096688,2.64e-06
1419465600,2.56e-06,2.5e-06,2.56e-06,2.5e-06,0.13515563,54052.94971624,2.5e-06
1419480000,2.55e-06,2.41e-06,2.43e-06,2.41e-06,0.52933326,215493.76421982,2.45e-06
1419494400,2.79e-06,2.46e-06,2.48e-06,2.74e-06,0.76896944,287892.49656653,2.67e-06
1419508800,2.87e-06,2.35e-06,2.74e-06,2.7e-06,2.24081468,897984.96160335,2.49e-06
1419523200,2.66e-06,2.41e-06,2.66e-06,2.47e-06,0.1895793,76457.57317498,2.47e-06
1419537600,2.53e-06,2.08e-06,2.44e-06,2.11e-06,2.46947623,1116001.9061818,2.21e-06
1419552000,2.54e-06,2.09e-06,2.18e-06,2.19e-06,0.48898355,221446.36074871,2.2e-06
1419566400,2.34e-06,2.15e-06,2.2e-06,2.19e-06,0.1288449,58358.20228205,2.2e-06
1419580800,2.25e-06,2.08e-06,2.19e-06,2.22e-06,0.26353825,122385.55305636,2.15e-06
1419595200,2.29e-06,1.8e-06,2.23e-06,1.88e-06,3.2327068,1615539.5278112,2e-06
1419609600,2e-06,1.75e-06,1.83e-06,1.87e-06,1.90133697,1049214.0692866,1.81e-06
1419624000,2.01e-06,1.77e-06,1.85e-06,1.77e-06,0.76223958,418012.77798549,1.82e-06
1419638400,1.83e-06,1.75e-06,1.79e-06,1.78e-06,0.73021627,411845.88299093,1.77e-06
1419652800,1.94e-06,1.76e-06,1.77e-06,1.76e-06,0.50697345,281120.28883591,1.8e-06
1419667200,1.87e-06,1.75e-06,1.76e-06,1.77e-06,1.00598299,558656.54536344,1.8e-06
1419681600,1.86e-06,1.76e-06,1.76e-06,1.86e-06,0.99683847,557522.5440148,1.78e-06
1419696000,1.85e-06,1.52e-06,1.78e-06,1.52e-06,2.51824598,1484289.1361712,1.69e-06
1419710400,2.19e-06,1.54e-06,1.62e-06,2.19e-06,1.9639673,1025556.8794591,1.91e-06
1419724800,3e-06,1.85e-06,1.97e-06,2.1e-06,1.51200065,603249.58003047,2.5e-06
1419739200,2.48e-06,2.12e-06,2.26e-06,2.32e-06,0.16419724,73755.50181134,2.22e-06
1419753600,2.33e-06,2e-06,2.32e-06,2.33e-06,0.40207477,191801.5158279,2.09e-06
1419768000,2.6e-06,1.99e-06,2.25e-06,2.35e-06,1.42378678,646757.96283621,2.2e-06
1419782400,2.4e-06,1.96e-06,2.3e-06,2.13e-06,1.91757371,931413.38452213,2.05e-06
1419796800,2.18e-06,1.96e-06,2.08e-06,2.09e-06,0.53213026,263422.72834111,2.02e-06
1419811200,2.18e-06,1.97e-06,2.13e-06,1.97e-06,0.19400921,95811.73895513,2.02e-06
1419825600,2.23e-06,1.95e-06,1.99e-06,1.95e-06,0.10093515,49459.24882015,2.04e-06
1419840000,2.02e-06,1.93e-06,2.02e-06,1.94e-06,0.15461606,79597.87145252,1.94e-06
1419854400,2.23e-06,1.93e-06,1.94e-06,1.93e-06,0.60530665,312884.78526287,1.93e-06
1419868800,2.13e-06,1.91e-06,2.13e-06,1.93e-06,0.0649635,33716.31869574,1.92e-06
1419883200,2.05e-06,1.8e-06,1.91e-06,1.82e-06,0.99119028,534347.22065237,1.85e-06
1419897600,1.92e-06,1.76e-06,1.82e-06,1.82e-06,0.4848,271821.22632651,1.78e-06
1419912000,1.82e-06,1.71e-06,1.82e-06,1.76e-06,0.33476592,193692.78632451,1.72e-06
1419926400,1.76e-06,1.71e-06,1.73e-06,1.71e-06,0.20364535,118465.33654212,1.71e-06
1419940800,1.92e-06,1.71e-06,1.71e-06,1.92e-06,0.11970105,66936.94781811,1.78e-06
1419955200,1.84e-06,1.71e-06,1.75e-06,1.84e-06,0.07846555,44921.27260862,1.74e-06
1419969600,1.85e-06,1.71e-06,1.8e-06,1.75e-06,0.92696672,541188.74291761,1.71e-06
1419984000,1.84e-06,1.56e-06,1.75e-06,1.57e-06,2.02106607,1201448.4420577,1.68e-06
1419998400,1.7e-06,1.58e-06,1.6e-06,1.64e-06,0.07818704,46862.15298813,1.66e-06
1420012800,1.64e-06,1.58e-06,1.64e-06,1.61e-06,0.02473181,15436.27125256,1.6e-06
1420027200,1.59e-06,1.57e-06,1.59e-06,1.57e-06,0.06333544,39961.38908669,1.58e-06
1420041600,1.99e-06,1.57e-06,1.58e-06,1.72e-06,0.69790837,399924.86257204,1.74e-06
1420056000,1.78e-06,1.58e-06,1.7e-06,1.61e-06,0.16913649,103595.39814086,1.63e-06
1420070400,1.79e-06,1.61e-06,1.71e-06,1.77e-06,0.02985823,18314.43387523,1.63e-06
1420084800,1.71e-06,1.67e-06,1.67e-06,1.7e-06,0.00543983,3210.00228245,1.69e-06
1420099200,1.8e-06,1.62e-06,1.75e-06,1.63e-06,0.07886218,44679.02802626,1.76e-06
1420113600,1.87e-06,1.68e-06,1.68e-06,1.87e-06,0.08219273,45737.71058286,1.79e-06
1420128000,1.87e-06,1.73e-06,1.87e-06,1.82e-06,0.23547751,135904.49620136,1.73e-06
1420142400,2e-06,1.74e-06,1.78e-06,1.75e-06,0.19158415,102045.36811229,1.87e-06
1420156800,1.8e-06,1.75e-06,1.8e-06,1.75e-06,0.03082872,17523.03589656,1.75e-06
1420171200,1.77e-06,1.75e-06,1.75e-06,1.75e-06,0.03405453,19447.03557312,1.75e-06
1420185600,1.84e-06,1.75e-06,1.75e-06,1.75e-06,0.0387578,21931.32681288,1.76e-06
1420200000,1.94e-06,1.59e-06,1.75e-06,1.94e-06,1.19477549,735852.99247305,1.62e-06
1420214400,1.83e-06,1.62e-06,1.74e-06,1.68e-06,0.06806005,40932.92683376,1.66e-06
1420228800,1.79e-06,1.77e-06,1.79e-06,1.77e-06,0.03117618,17430.00227982,1.78e-06
1420243200,1.79e-06,1.63e-06,1.78e-06,1.63e-06,0.03576672,21133.65344235,1.69e-06
1420257600,1.98e-06,1.63e-06,1.63e-06,1.91e-06,0.29243386,154639.79430872,1.89e-06
1420272000,1.88e-06,1.63e-06,1.73e-06,1.88e-06,0.31994641,194690.19065873,1.64e-06
1420286400,1.74e-06,1.62e-06,1.65e-06,1.74e-06,0.10056726,61634.00749118,1.63e-06
1420300800,1.73e-06,1.58e-06,1.62e-06,1.73e-06,0.09061425,57197.60702498,1.58e-06
1420315200,1.59e-06,1.58e-06,1.59e-06,1.58e-06,0.31794756,200464.92968798,1.58e-06
1420329600,1.7e-06,1.58e-06,1.58e-06,1.58e-06,0.1694498,107169.04985916,1.58e-06
1420344000,1.58e-06,1.58e-06,1.58e-06,1.58e-06,0.006917,4377.85158721,1.58e-06
1420358400,1.58e-06,1.5e-06,1.58e-06,1.5e-06,1.78360429,1182460.9037782,1.5e-06
1420372800,1.42e-06,1.33e-06,1.42e-06,1.38e-06,0.6733819,499954.46402695,1.34e-06
1420387200,1.36e-06,9.9e-07,1.33e-06,1e-06,1.11423653,1043635.9532464,1.06e-06
1420401600,1.37e-06,8.8e-07,1e-06,1e-06,1.49561858,1373287.8984931,1.08e-06
1420416000,1.03e-06,9.5e-07,1.01e-06,9.7e-07,1.02770272,1062974.9005201,9.6e-07
1420430400,1.08e-06,8.2e-07,9.6e-07,1.08e-06,0.3713223,410834.60791225,9e-07
1420444800,1.17e-06,1e-06,1.01e-06,1.17e-06,0.12689908,111242.5369374,1.14e-06
1420459200,1.7e-06,1.16e-06,1.16e-06,1.7e-06,1.14209522,802159.92723386,1.42e-06
1420473600,1.69e-06,1e-06,1.65e-06,1.15e-06,0.83612362,731211.34394829,1.14e-06
1420488000,1.16e-06,1.01e-06,1.03e-06,1.03e-06,0.17210314,167340.59790545,1.02e-06
