date,high,low,open,close,volume,quoteVolume,weightedAverage
1404921600,8.495e-05,3e-05,8.495e-05,3e-05,0.29591329,7708,3.839e-05
1404936000,3.999e-05,3.8e-05,3.8e-05,3.899e-05,0.11300187,2828,3.995e-05
1404950400,3.999e-05,3.999e-05,3.999e-05,3.999e-05,0.17615595,4405,3.999e-05
1404964800,3.999e-05,3.999e-05,3.999e-05,3.999e-05,0.19015245,4755,3.999e-05
1404979200,3.999e-05,3.7e-05,3.999e-05,3.7e-05,0.05734891,1439,3.985e-05
1404993600,3.9e-05,3.65e-05,3.9e-05,3.65e-05,0.03151935,856,3.682e-05
1405008000,3.601e-05,3.004e-05,3.601e-05,3.004e-05,0.01322235,405,3.264e-05
1405022400,3.51e-05,3.016e-05,3.017e-05,3.51e-05,0.87719778,25116,3.492e-05
1405036800,3.695e-05,3.101e-05,3.2e-05,3.695e-05,0.25156623,6879,3.657e-05
1405051200,3.7e-05,3.544e-05,3.695e-05,3.544e-05,1.34043179,36263,3.696e-05
1405065600,3.744e-05,3.695e-05,3.697e-05,3.744e-05,0.14679437,3967,3.7e-05
1405080000,4e-05,3.7e-05,3.718e-05,4e-05,2.06603039,55686,3.71e-05
1405094400,6.5e-05,3.999e-05,3.999e-05,5.501e-05,3.43635995,62874,5.465e-05
1405108800,6.494e-05,5.001e-05,5.647e-05,6.396e-05,1.80111512,31765,5.67e-05
1405123200,5.764e-05,4.4e-05,5.764e-05,5.327e-05,1.99865796,40986,4.876e-05
1405137600,5.388e-05,4.35e-05,5.271e-05,4.35e-05,1.28463437,26965,4.764e-05
1405152000,5.639e-05,5.109e-05,5.118e-05,5.5e-05,2.76347516,50385,5.484e-05
1405166400,6.199e-05,4.401e-05,5.748e-05,4.898e-05,1.16925736,19791,5.908e-05
1405180800,5.86e-05,5.494e-05,5.499e-05,5.495e-05,0.16947133,3051,5.554e-05
1405195200,5.107e-05,4.471e-05,5.107e-05,4.505e-05,0.0596043,1316,4.529e-05
1405209600,4.896e-05,4.655e-05,4.655e-05,4.8e-05,0.04079791,857,4.76e-05
1405224000,4.999e-05,4.969e-05,4.969e-05,4.999e-05,0.04159165,835,4.981e-05
1405238400,5.125e-05,4.999e-05,4.999e-05,5.125e-05,0.15189954,2978,5.1e-05
1405252800,5.15e-05,4.801e-05,5.15e-05,4.801e-05,5.14676316,101907,5.05e-05
1405267200,4.812e-05,4.021e-05,4.812e-05,4.511e-05,1.25251049,28078,4.46e-05
1405281600,4.556e-05,4.489e-05,4.489e-05,4.555e-05,0.06246917,1384,4.513e-05
1405296000,4.638e-05,4.553e-05,4.638e-05,4.589e-05,0.05101343,1115,4.575e-05
1405310400,4.559e-05,4.558e-05,4.559e-05,4.558e-05,0.02867173,629,4.558e-05
1405324800,4.638e-05,4.447e-05,4.638e-05,4.447e-05,0.17806753,4004,4.447e-05
1405339200,4.857e-05,4.453e-05,4.453e-05,4.857e-05,0.116498,2457,4.741e-05
1405353600,4.857e-05,4.705e-05,4.857e-05,4.75e-05,0.30955553,6511,4.754e-05
1405368000,5.275e-05,4.642e-05,4.751e-05,4.7e-05,1.72499754,35986,4.793e-05
1405382400,5.249e-05,4.5e-05,4.503e-05,4.947e-05,2.06207392,45105,4.571e-05
1405396800,4.503e-05,4.502e-05,4.503e-05,4.503e-05,0.0891109,1979,4.502e-05
1405411200,4.99e-05,4.6e-05,4.708e-05,4.987e-05,2.41608191,51603,4.682e-05
1405425600,5.25e-05,4.977e-05,4.977e-05,5.159e-05,0.77176556,14925,5.17e-05
1405440000,5.122e-05,4.605e-05,4.991e-05,4.605e-05,0.01029285,212,4.855e-05
1405454400,4.696e-05,4.694e-05,4.694e-05,4.696e-05,0.06102791,1300,4.694e-05
1405468800,5.048e-05,4.609e-05,4.616e-05,5.048e-05,1.54172993,33422,4.612e-05
1405483200,5.134e-05,4.86e-05,5.047e-05,4.86e-05,4.14232847,82393,5.027e-05
1405497600,5.097e-05,4.95e-05,5.049e-05,5.089e-05,0.11099975,2205,5.034e-05
1405512000,5.09e-05,5.088e-05,5.088e-05,5.09e-05,0.05145774,1011,5.089e-05
1405526400,5.079e-05,4.9e-05,4.911e-05,5.078e-05,0.12648449,2506,5.047e-05
1405540800,5.081e-05,4.8e-05,5.078e-05,5.067e-05,0.384242,7861,4.887e-05
1405555200,5.082e-05,4.712e-05,5.067e-05,4.712e-05,0.49374859,10060,4.908e-05
1405569600,4.99e-05,4.99e-05,4.99e-05,4.99e-05,1.000495,20050,4.99e-05
1405584000,4.99e-05,4.99e-05,4.99e-05,4.99e-05,0,0,4.99e-05
1405598400,4.718e-05,4.712e-05,4.718e-05,4.712e-05,0.05540869,1175,4.715e-05
