date,high,low,open,close,volume,quoteVolume,weightedAverage
1405699200,8.8e-06,8.51e-06,8.55e-06,8.8e-06,0.068737,8018.52881438,8.57e-06
1405713600,9.95e-06,8.5e-06,8.5e-06,9.95e-06,0.01647284,1819.16393672,9.05e-06
1405728000,1.174e-05,8.51e-06,8.51e-06,1.174e-05,0.04121163,4694.79228208,8.77e-06
1405742400,8.52e-06,8.3e-06,8.52e-06,8.3e-06,0.29027475,34452.35651297,8.42e-06
1405756800,8.75e-06,8.75e-06,8.75e-06,8.75e-06,0.03106455,3550.23474178,8.75e-06
1405771200,9.94e-06,9.93e-06,9.94e-06,9.93e-06,0.00254668,256.39899315,9.93e-06
1405785600,9.91e-06,7.28e-06,9.91e-06,9.48e-06,0.03212171,4338.77324187,7.4e-06
1405800000,8.01e-06,8.01e-06,8.01e-06,8.01e-06,0.04806,6000,8.01e-06
1405814400,8.96e-06,8.83e-06,8.96e-06,8.83e-06,0.00058557,66.13950892,8.85e-06
1405828800,8e-06,7.6e-06,8e-06,7.6e-06,0.00794673,1043.34125,7.61e-06
1405843200,8.52e-06,7.14e-06,7.29e-06,8.17e-06,0.27033071,35209.9933957,7.67e-06
1405857600,8.13e-06,6.8e-06,7.15e-06,8e-06,0.05841401,7559.90742071,7.72e-06
1405872000,7.87e-06,6.8e-06,7.63e-06,6.8e-06,0.06605805,9383.75691679,7.03e-06
1405886400,7.43e-06,7.17e-06,7.43e-06,7.18e-06,0.0208611,2888.4647514,7.22e-06
1405900800,7.41e-06,7.41e-06,7.41e-06,7.41e-06,0.00013522,18.24966261,7.41e-06
1405915200,7.72e-06,7.2e-06,7.2e-06,7.72e-06,0.00054207,71.22163771,7.61e-06
1405929600,8e-06,7.76e-06,7.76e-06,8e-06,0.0275844,3506.85814283,7.86e-06
1405944000,8e-06,7.72e-06,7.72e-06,8e-06,0.01691393,2148.02,7.87e-06
1405958400,7.87e-06,7e-06,7.24e-06,7.87e-06,0.05433569,7681.99520282,7.07e-06
1405972800,7.32e-06,7.32e-06,7.32e-06,7.32e-06,0.00011239,15.35519125,7.32e-06
1405987200,7.13e-06,6.9e-06,7.1e-06,6.9e-06,0.11164731,15947.31768366,7e-06
1406001600,6.99e-06,6.82e-06,6.98e-06,6.82e-06,0.01157744,1696.70889794,6.82e-06
1406016000,7.09e-06,6.82e-06,6.99e-06,6.82e-06,0.07337471,10658.85570002,6.88e-06
1406030400,7.09e-06,6.42e-06,6.82e-06,6.49e-06,0.04563418,6983.5957331,6.53e-06
1406044800,7.08e-06,6e-06,6.47e-06,6e-06,0.06981043,11133.9414758,6.27e-06
1406059200,6.6e-06,6.6e-06,6.6e-06,6.6e-06,0.00045965,69.64545454,6.6e-06
1406073600,6.6e-06,5.31e-06,6.6e-06,5.37e-06,0.14335276,26213.73725301,5.46e-06
1406088000,6.01e-06,6.01e-06,6.01e-06,6.01e-06,0.00344283,572.8507525,6.01e-06
1406102400,6e-06,6e-06,6e-06,6e-06,0.00023079,38.46666666,6e-06
1406116800,5.05e-06,5.03e-06,5.05e-06,5.03e-06,0.00503259,1000,5.03e-06
1406131200,6e-06,6e-06,6e-06,6e-06,0.0004791,79.85,6e-06
1406145600,5.08e-06,5.02e-06,5.08e-06,5.02e-06,0.02087617,4112.17085319,5.07e-06
1406160000,6.39e-06,6.39e-06,6.39e-06,6.39e-06,0.00011502,18,6.39e-06
1406174400,6.39e-06,4.58e-06,5.06e-06,4.58e-06,0.0651943,13690.84642648,4.76e-06
1406188800,4.58e-06,4.58e-06,4.58e-06,4.58e-06,0,0,4.58e-06
1406203200,5e-06,4.04e-06,4.58e-06,5e-06,0.04336393,10074.46848889,4.3e-06
1406217600,4.04e-06,4e-06,4.04e-06,4e-06,0.03159077,7857.39268191,4.02e-06
1406232000,4e-06,4e-06,4e-06,4e-06,0,0,4e-06
1406246400,4e-06,4e-06,4e-06,4e-06,0,0,4e-06
1406260800,4e-06,4e-06,4e-06,4e-06,0,0,4e-06
1406275200,4e-06,4e-06,4e-06,4e-06,0,0,4e-06
1406289600,4e-06,4e-06,4e-06,4e-06,0,0,4e-06
1406304000,5.2e-06,4.5e-06,4.5e-06,5.2e-06,0.09870823,18987.30739315,5.19e-06
1406318400,5.01e-06,5e-06,5.01e-06,5e-06,0.04385012,8753.69865468,5e-06
1406332800,4.04e-06,4.03e-06,4.04e-06,4.03e-06,0.00267396,663.2199324,4.03e-06
1406347200,5.22e-06,4.04e-06,4.04e-06,5.22e-06,0.02144373,4764.01224502,4.5e-06
1406361600,6e-06,5.23e-06,5.23e-06,6e-06,0.01587187,2661.33333333,5.96e-06
1406376000,6.01e-06,5.95e-06,6e-06,6.01e-06,0.09376535,15676.48072184,5.98e-06
1406390400,6.01e-06,6.01e-06,6.01e-06,6.01e-06,0,0,6.01e-06
1406404800,6.01e-06,6.01e-06,6.01e-06,6.01e-06,0,0,6.01e-06
1406419200,6.01e-06,6.01e-06,6.01e-06,6.01e-06,0,0,6.01e-06
1406433600,6.01e-06,6.01e-06,6.01e-06,6.01e-06,0,0,6.01e-06
1406448000,5.91e-06,4.08e-06,5.91e-06,4.08e-06,0.00044695,85.3446343,5.23e-06
1406462400,4.08e-06,4.08e-06,4.08e-06,4.08e-06,0,0,4.08e-06
1406476800,5e-06,4.08e-06,5e-06,4.08e-06,0.00109711,259.8592624,4.22e-06
1406491200,4.08e-06,4.08e-06,4.08e-06,4.08e-06,0,0,4.08e-06
1406505600,5.82e-06,3.06e-06,4.1e-06,5.82e-06,0.26520345,80407.70139051,3.29e-06
1406520000,3.07e-06,3.07e-06,3.07e-06,3.07e-06,0.00423693,1380.10982486,3.07e-06
1406534400,3.07e-06,3.07e-06,3.07e-06,3.07e-06,0,0,3.07e-06
1406548800,3.1e-06,3e-06,3.1e-06,3e-06,0.03106847,10160.84408024,3.05e-06
1406563200,4.9e-06,4.9e-06,4.9e-06,4.9e-06,0.00999999,2040.81632653,4.9e-06
1406577600,4.9e-06,4.9e-06,4.9e-06,4.9e-06,0,0,4.9e-06
1406592000,4.9e-06,4.9e-06,4.9e-06,4.9e-06,0,0,4.9e-06
1406606400,4.9e-06,4.9e-06,4.9e-06,4.9e-06,0,0,4.9e-06
1406620800,4.9e-06,4.9e-06,4.9e-06,4.9e-06,0,0,4.9e-06
1406635200,3.01e-06,3e-06,3e-06,3e-06,0.05762206,19207.18954248,3e-06
1406649600,3e-06,3e-06,3e-06,3e-06,0.00826595,2755.31967645,3e-06
1406664000,4.88e-06,4.53e-06,4.53e-06,4.88e-06,0.04785452,10190.32368852,4.69e-06
1406678400,4.88e-06,4.88e-06,4.88e-06,4.88e-06,0,0,4.88e-06
1406692800,3.53e-06,3.5e-06,3.53e-06,3.5e-06,0.00997528,2829.44167286,3.52e-06
1406707200,7.82e-06,4.88e-06,4.88e-06,7.82e-06,0.54318921,88659.99971218,6.12e-06
