date,high,low,open,close,volume,quoteVolume,weightedAverage
1405699200,5.99e-06,5.76e-06,5.97e-06,5.76e-06,0.13480143,22576.64806933,5.97e-06
1405713600,5.99e-06,5.77e-06,5.77e-06,5.98e-06,0.01890438,3164.53839666,5.97e-06
1405728000,5.98e-06,5.76e-06,5.98e-06,5.98e-06,0.26845122,45005.40401986,5.96e-06
1405742400,5.76e-06,5.76e-06,5.76e-06,5.76e-06,0.00042508,73.8,5.76e-06
1405756800,5.99e-06,5.75e-06,5.75e-06,5.75e-06,0.21658387,36271.9850873,5.97e-06
1405771200,5.97e-06,5.75e-06,5.75e-06,5.76e-06,0.00202927,350.95125628,5.78e-06
1405785600,5.99e-06,5.76e-06,5.97e-06,5.76e-06,0.12348392,20670.44260415,5.97e-06
1405800000,5.99e-06,5.78e-06,5.97e-06,5.97e-06,0.01636121,2774.38607015,5.89e-06
1405814400,5.99e-06,5.76e-06,5.78e-06,5.76e-06,0.111431,18854.47482344,5.91e-06
1405828800,5.96e-06,5.75e-06,5.96e-06,5.75e-06,0.01331328,2300,5.78e-06
1405843200,5.94e-06,5.75e-06,5.75e-06,5.94e-06,0.00085162,144.14426825,5.9e-06
1405857600,5.95e-06,5.75e-06,5.75e-06,5.78e-06,0.05719034,9637.37391967,5.93e-06
1405872000,5.93e-06,5.75e-06,5.78e-06,5.75e-06,0.01040644,1792.86986256,5.8e-06
1405886400,5.91e-06,5.75e-06,5.75e-06,5.75e-06,0.01050257,1799.22745543,5.83e-06
1405900800,5.87e-06,5.75e-06,5.75e-06,5.75e-06,0.01521483,2629.79431512,5.78e-06
1405915200,5.87e-06,5.65e-06,5.75e-06,5.65e-06,0.08969381,15387.92915158,5.82e-06
1405929600,5.98e-06,5.64e-06,5.64e-06,5.75e-06,0.04564654,7772.35582242,5.87e-06
1405944000,5.98e-06,5.75e-06,5.75e-06,5.75e-06,0.0030654,531.77635962,5.76e-06
1405958400,6.25e-06,5.75e-06,5.97e-06,6e-06,0.84480864,140894.1890924,5.99e-06
1405972800,6.27e-06,5.75e-06,5.98e-06,5.77e-06,0.33438076,56580.27072363,5.9e-06
1405987200,6.22e-06,5.76e-06,5.76e-06,5.82e-06,0.04944042,8075.15890626,6.12e-06
1406001600,5.8e-06,5.76e-06,5.77e-06,5.76e-06,0.0080865,1400.21335206,5.77e-06
1406016000,5.76e-06,5.76e-06,5.76e-06,5.76e-06,0.00258912,449.5,5.76e-06
1406030400,5.77e-06,5.5e-06,5.76e-06,5.75e-06,0.36695552,63819.70689339,5.74e-06
1406044800,5.76e-06,5.74e-06,5.74e-06,5.75e-06,0.42084833,73168.05929696,5.75e-06
1406059200,6e-06,5.73e-06,5.75e-06,5.77e-06,0.29876313,51562.78409194,5.79e-06
1406073600,5.98e-06,5.77e-06,5.77e-06,5.77e-06,0.03309879,5567.00272661,5.94e-06
1406088000,5.98e-06,5.32e-06,5.98e-06,5.32e-06,0.01562152,2717.14443409,5.74e-06
1406102400,5.99e-06,5.95e-06,5.98e-06,5.96e-06,0.07984884,13369.78737784,5.97e-06
1406116800,5.96e-06,5.75e-06,5.8e-06,5.75e-06,0.18205827,31500.49003059,5.77e-06
1406131200,5.96e-06,5.75e-06,5.75e-06,5.77e-06,0.09846806,16646.39412372,5.91e-06
1406145600,5.9e-06,5.62e-06,5.76e-06,5.75e-06,0.17452605,30357.83518503,5.74e-06
1406160000,5.96e-06,5.63e-06,5.75e-06,5.63e-06,0.13523191,23042.9047256,5.86e-06
1406174400,5.62e-06,5.6e-06,5.62e-06,5.61e-06,0.03363755,6004.25100846,5.6e-06
1406188800,5.61e-06,5.6e-06,5.61e-06,5.6e-06,0.01678843,2993.13995838,5.6e-06
1406203200,5.96e-06,5.6e-06,5.6e-06,5.61e-06,0.16198117,28293.99553029,5.72e-06
1406217600,5.71e-06,5.61e-06,5.61e-06,5.61e-06,0.01825356,3241.31847684,5.63e-06
1406232000,5.68e-06,5.61e-06,5.68e-06,5.61e-06,0.01406939,2507.47466761,5.61e-06
1406246400,5.7e-06,5.6e-06,5.61e-06,5.6e-06,0.11106498,19778.86930201,5.61e-06
1406260800,5.92e-06,5.6e-06,5.6e-06,5.6e-06,0.33743479,59134.62952972,5.7e-06
1406275200,5.59e-06,5.57e-06,5.59e-06,5.57e-06,0.0008219,147.14082594,5.58e-06
1406289600,5.69e-06,5.58e-06,5.58e-06,5.69e-06,0.09304951,16659.01237828,5.58e-06
1406304000,5.69e-06,5.65e-06,5.68e-06,5.65e-06,0.01450697,2556.38374151,5.67e-06
1406318400,5.69e-06,5.47e-06,5.68e-06,5.47e-06,0.1019259,17942.58895846,5.68e-06
1406332800,5.93e-06,5.48e-06,5.6e-06,5.48e-06,0.24502689,42902.57501019,5.71e-06
1406347200,5.7e-06,5.45e-06,5.69e-06,5.5e-06,0.02016279,3603.6499614,5.59e-06
1406361600,5.78e-06,5.5e-06,5.5e-06,5.5e-06,0.2391723,42038.42259343,5.68e-06
1406376000,5.69e-06,5.45e-06,5.5e-06,5.51e-06,0.03155818,5587.05467152,5.64e-06
1406390400,5.71e-06,5.51e-06,5.51e-06,5.61e-06,0.03924113,6963.83315458,5.63e-06
1406404800,5.63e-06,5.61e-06,5.61e-06,5.63e-06,0.0092422,1642.2864,5.62e-06
1406419200,5.78e-06,5.63e-06,5.63e-06,5.65e-06,0.0884543,15438.27408844,5.72e-06
1406433600,5.65e-06,5.63e-06,5.65e-06,5.63e-06,0.00822431,1456.29774073,5.64e-06
1406448000,5.75e-06,5.51e-06,5.63e-06,5.53e-06,0.07596554,13361.35400001,5.68e-06
1406462400,5.79e-06,5.53e-06,5.53e-06,5.54e-06,0.03770234,6557.70863094,5.74e-06
1406476800,5.78e-06,5.51e-06,5.54e-06,5.78e-06,0.11968319,21225.98896715,5.63e-06
1406491200,5.53e-06,5.52e-06,5.52e-06,5.53e-06,0.00177596,321.64275362,5.52e-06
1406505600,5.78e-06,5.53e-06,5.53e-06,5.78e-06,0.10933364,19042.15825161,5.74e-06
1406520000,5.53e-06,5.53e-06,5.53e-06,5.53e-06,0.00027594,49.9,5.53e-06
1406534400,5.73e-06,5.53e-06,5.53e-06,5.53e-06,0.07529343,13203.16965007,5.7e-06
1406548800,5.56e-06,5.53e-06,5.53e-06,5.56e-06,0.03948563,7103.45382596,5.55e-06
1406563200,5.78e-06,5.53e-06,5.56e-06,5.6e-06,0.05566093,9868.51769625,5.64e-06
1406577600,5.78e-06,5.6e-06,5.6e-06,5.76e-06,0.0613783,10701.06017396,5.73e-06
1406592000,5.76e-06,5.65e-06,5.65e-06,5.65e-06,0.04532456,7919.88510327,5.72e-06
1406606400,5.65e-06,5.65e-06,5.65e-06,5.65e-06,0.002503,443.01021144,5.65e-06
1406620800,5.66e-06,5.66e-06,5.66e-06,5.66e-06,0.00154811,273.51867901,5.66e-06
1406635200,5.77e-06,5.66e-06,5.66e-06,5.66e-06,0.08762609,15219.87248615,5.75e-06
1406649600,5.77e-06,5.66e-06,5.66e-06,5.77e-06,0.04340316,7584.53024652,5.72e-06
1406664000,5.99e-06,5.55e-06,5.7e-06,5.99e-06,1.14957342,196149.73631339,5.86e-06
1406678400,6.28e-06,6e-06,6e-06,6.2e-06,0.36542432,59924.22937774,6.09e-06
1406692800,6.1e-06,5.99e-06,6.1e-06,5.99e-06,0.01214119,2010.37837543,6.03e-06
1406707200,6.29e-06,6.1e-06,6.1e-06,6.1e-06,0.041715,6645.90305662,6.27e-06
1406721600,6.29e-06,6.28e-06,6.28e-06,6.28e-06,0.13823681,21996.3075424,6.28e-06
1406736000,6.29e-06,6.28e-06,6.28e-06,6.28e-06,0.10662097,16958.8260029,6.28e-06
1406750400,6.28e-06,6.28e-06,6.28e-06,6.28e-06,0.00013381,21.30754241,6.28e-06
1406764800,6.46e-06,6.02e-06,6.28e-06,6.46e-06,0.76528297,120870.58376239,6.33e-06
1406779200,6.46e-06,6.46e-06,6.46e-06,6.46e-06,0,0,6.46e-06
1406793600,7.4e-06,6.07e-06,6.2e-06,7.4e-06,1.77782647,263277.62950198,6.75e-06
1406808000,8.6e-06,7.4e-06,7.4e-06,8.6e-06,1.23853273,155675.89825485,7.95e-06
1406822400,8.82e-06,8.43e-06,8.59e-06,8.43e-06,0.37900033,43829.33052511,8.64e-06
1406836800,8.45e-06,7.35e-06,8.43e-06,7.89e-06,0.24054641,29031.15341655,8.28e-06
1406851200,8.44e-06,6.25e-06,7.24e-06,8.35e-06,0.32758875,41470.39478169,7.89e-06
1406865600,8.17e-06,6.11e-06,7.6e-06,6.49e-06,0.18302006,26375.73518236,6.93e-06
1406880000,8.45e-06,6.66e-06,6.66e-06,8.44e-06,0.57066705,78273.06600917,7.29e-06
1406894400,8.45e-06,7.26e-06,7.32e-06,7.26e-06,0.14066781,16733.75348674,8.4e-06
1406908800,8.51e-06,7.5e-06,8.32e-06,8.47e-06,0.42264754,50444.17663047,8.37e-06
1406923200,8.38e-06,7.65e-06,7.91e-06,7.7e-06,0.0094096,1160.00685257,8.11e-06
1406937600,8.51e-06,7.66e-06,8.35e-06,8.42e-06,0.3023306,36576.16761429,8.26e-06
1406952000,8.48e-06,7.57e-06,7.64e-06,7.57e-06,0.15904015,20867.44139338,7.62e-06
1406966400,8.75e-06,7.01e-06,7.44e-06,7.78e-06,0.63709323,77391.29524003,8.23e-06
