date,high,low,open,close,volume,quoteVolume,weightedAverage
1390104000,6e-05,5e-05,6e-05,5e-05,0.0041,71,5.774e-05
1390118400,6.5e-05,5e-05,5.9e-05,6.5e-05,0.210808,4007,5.26e-05
1390132800,6.71e-05,6.5e-05,6.7e-05,6.71e-05,0.0476699,720,6.62e-05
1390147200,7e-05,6.6e-05,6.7e-05,7e-05,0.0079582,116,6.86e-05
1390161600,7e-05,7e-05,7e-05,7e-05,0,0,7e-05
1390176000,6.9e-05,6.9e-05,6.9e-05,6.9e-05,0.00069,10,6.9e-05
1390190400,7e-05,6.9e-05,6.9e-05,7e-05,0.00153,22,6.954e-05
1390204800,7e-05,7e-05,7e-05,7e-05,0,0,7e-05
1390219200,7e-05,7e-05,7e-05,7e-05,0,0,7e-05
1390233600,7.5e-05,7e-05,7e-05,7.5e-05,0.053685,755,7.11e-05
1390248000,8.5e-05,7.7e-05,7.7e-05,8.5e-05,0.101744,1242,8.191e-05
1390262400,8.5e-05,8.5e-05,8.5e-05,8.5e-05,0,0,8.5e-05
1390276800,0.000105,9e-05,9e-05,0.000105,1.11898,10724,0.00010434
1390291200,0.000105,0.000105,0.000105,0.000105,0,0,0.000105
1390305600,0.000105,0.000105,0.000105,0.000105,0,0,0.000105
1390320000,0.000105,0.000105,0.000105,0.000105,0,0,0.000105
1390334400,0.000105,0.000105,0.000105,0.000105,0,0,0.000105
1390348800,0.000125,0.000125,0.000125,0.000125,0.125,1000,0.000125
1390363200,0.000125,0.000125,0.000125,0.000125,0.227375,1819,0.000125
1390377600,9.5e-05,9.5e-05,9.5e-05,9.5e-05,0.406125,4275,9.5e-05
1390392000,9.5e-05,9.5e-05,9.5e-05,9.5e-05,0,0,9.5e-05
1390406400,9.5e-05,9.5e-05,9.5e-05,9.5e-05,0,0,9.5e-05
1390420800,9.5e-05,9.5e-05,9.5e-05,9.5e-05,0,0,9.5e-05
1390435200,9.5e-05,9.5e-05,9.5e-05,9.5e-05,0,0,9.5e-05
1390449600,9.5e-05,9.5e-05,9.5e-05,9.5e-05,0,0,9.5e-05
1390464000,9.5e-05,9.5e-05,9.5e-05,9.5e-05,0,0,9.5e-05
1390478400,9.5e-05,9.5e-05,9.5e-05,9.5e-05,0,0,9.5e-05
1390492800,9.5e-05,9.5e-05,9.5e-05,9.5e-05,0.00133,14,9.5e-05
1390507200,0.000125,0.000125,0.000125,0.000125,0.00375,30,0.000125
1390521600,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390536000,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390550400,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390564800,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390579200,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390593600,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390608000,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390622400,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390636800,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390651200,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390665600,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390680000,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390694400,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390708800,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390723200,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
1390737600,0.000125,0.000125,0.000125,0.000125,0,0,0.000125
