date,high,low,open,close,volume,quoteVolume,weightedAverage
1405699200,6.4e-07,6.4e-07,6.4e-07,6.4e-07,0,0,6.4e-07
1405713600,6.4e-07,6.4e-07,6.4e-07,6.4e-07,0,0,6.4e-07
1405728000,7.2e-07,6.4e-07,6.6e-07,7.2e-07,0.07755357,119812.08784286,6.4e-07
1405742400,7.2e-07,7.2e-07,7.2e-07,7.2e-07,0,0,7.2e-07
1405756800,6.6e-07,6.2e-07,6.4e-07,6.6e-07,0.37288317,590369.23445556,6.3e-07
1405771200,6.6e-07,6.6e-07,6.6e-07,6.6e-07,0,0,6.6e-07
1405785600,6.3e-07,6.3e-07,6.3e-07,6.3e-07,0.02452023,38921,6.3e-07
1405800000,6.4e-07,6.4e-07,6.4e-07,6.4e-07,0.00490389,7662.34122032,6.4e-07
1405814400,6.8e-07,6.8e-07,6.8e-07,6.8e-07,0.01336715,19657.57575757,6.8e-07
1405828800,6.9e-07,6.9e-07,6.9e-07,6.9e-07,0.03029999,43913.04347826,6.9e-07
1405843200,6.9e-07,6.9e-07,6.9e-07,6.9e-07,0,0,6.9e-07
1405857600,6.9e-07,6.9e-07,6.9e-07,6.9e-07,0,0,6.9e-07
1405872000,6.9e-07,6.9e-07,6.9e-07,6.9e-07,0,0,6.9e-07
1405886400,6.9e-07,6.1e-07,6.9e-07,6.1e-07,0.00164949,2543.68306352,6.4e-07
1405900800,6.1e-07,6.1e-07,6.1e-07,6.1e-07,0.005505,9024.59264536,6.1e-07
1405915200,6.1e-07,6.1e-07,6.1e-07,6.1e-07,0,0,6.1e-07
1405929600,6.1e-07,6.1e-07,6.1e-07,6.1e-07,0,0,6.1e-07
1405944000,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.00069884,1127.17514339,6.2e-07
1405958400,6.9e-07,6.1e-07,6.9e-07,6.1e-07,0.00025515,398.68652173,6.3e-07
1405972800,6.1e-07,6.1e-07,6.1e-07,6.1e-07,0,0,6.1e-07
1405987200,6.1e-07,6.1e-07,6.1e-07,6.1e-07,0,0,6.1e-07
1406001600,6.1e-07,6e-07,6.1e-07,6e-07,0.22235961,368730.85002576,6e-07
1406016000,6e-07,6e-07,6e-07,6e-07,0.02600719,43345.32127074,6e-07
1406030400,6.6e-07,6.6e-07,6.6e-07,6.6e-07,0.000132,200,6.6e-07
1406044800,6e-07,6e-07,6e-07,6e-07,0.0105,17500,6e-07
1406059200,6e-07,6e-07,6e-07,6e-07,0,0,6e-07
1406073600,6.5e-07,6.5e-07,6.5e-07,6.5e-07,0.00066052,1016.19999999,6.5e-07
1406088000,6.5e-07,6.5e-07,6.5e-07,6.5e-07,0,0,6.5e-07
1406102400,6.5e-07,6.5e-07,6.5e-07,6.5e-07,0,0,6.5e-07
1406116800,6e-07,6e-07,6e-07,6e-07,0.10554232,175903.86951585,6e-07
1406131200,6.4e-07,6e-07,6.4e-07,6e-07,0.06458863,107608.38762666,6e-07
1406145600,6.9e-07,6.4e-07,6.4e-07,6.9e-07,0.01191573,18193.85044052,6.5e-07
1406160000,7.6e-07,6.9e-07,6.9e-07,7.3e-07,0.04107273,58468.13394937,7e-07
1406174400,7.5e-07,7.3e-07,7.3e-07,7.5e-07,0.01022867,13938.71053647,7.3e-07
1406188800,7e-07,7e-07,7e-07,7e-07,0.00121782,1739.75675676,7e-07
1406203200,7.3e-07,7.3e-07,7.3e-07,7.3e-07,0.03163333,43333.33333333,7.3e-07
1406217600,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.00012399,199.99,6.2e-07
1406232000,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0,0,6.2e-07
1406246400,8.2e-07,7.3e-07,7.3e-07,8.2e-07,0.2109082,275220.5940144,7.6e-07
1406260800,6.7e-07,6.7e-07,6.7e-07,6.7e-07,0.00043331,646.74432322,6.7e-07
1406275200,8.3e-07,8.2e-07,8.3e-07,8.3e-07,0.06675305,80657.61928017,8.2e-07
1406289600,8.4e-07,7.5e-07,7.8e-07,7.5e-07,0.06875132,89386.9840726,7.6e-07
1406304000,7.5e-07,7.5e-07,7.5e-07,7.5e-07,0,0,7.5e-07
1406318400,9.8e-07,8.3e-07,8.3e-07,9.8e-07,1.52617055,1775732.167988,8.5e-07
1406332800,9.9e-07,9.2e-07,9.2e-07,9.9e-07,0.02380294,24298.26822738,9.7e-07
1406347200,1.02e-06,9e-07,9.1e-07,1.02e-06,3.21556835,3541948.7398513,9e-07
1406361600,9.8e-07,9.8e-07,9.8e-07,9.8e-07,0.000784,800,9.8e-07
1406376000,9.8e-07,9.8e-07,9.8e-07,9.8e-07,0,0,9.8e-07
1406390400,8.6e-07,8.6e-07,8.6e-07,8.6e-07,0.00012147,141.25460783,8.6e-07
1406404800,9.6e-07,8.7e-07,8.9e-07,8.7e-07,0.15208088,158477.43000149,9.5e-07
1406419200,9e-07,7.8e-07,8.7e-07,7.8e-07,0.04832175,58872.08899471,8.2e-07
1406433600,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0,0,7.8e-07
1406448000,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0,0,7.8e-07
1406462400,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0,0,7.8e-07
1406476800,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0,0,7.8e-07
1406491200,9.6e-07,8.6e-07,8.6e-07,9.6e-07,0.06026157,67972.30270271,8.8e-07
1406505600,8.6e-07,7.9e-07,8.6e-07,7.9e-07,0.00170626,2139.24050633,7.9e-07
1406520000,9.6e-07,7.8e-07,9.6e-07,7.8e-07,0.02965948,30987.836375,9.5e-07
1406534400,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0,0,7.8e-07
1406548800,8.6e-07,8.1e-07,8.6e-07,8.1e-07,0.00504854,6178.35263827,8.1e-07
1406563200,9.5e-07,8.7e-07,8.7e-07,9.5e-07,0.01381528,14795.85447658,9.3e-07
1406577600,8.2e-07,8.2e-07,8.2e-07,8.2e-07,0.00151223,1844.18359703,8.2e-07
1406592000,8.2e-07,8.2e-07,8.2e-07,8.2e-07,0,0,8.2e-07
1406606400,8.2e-07,8.2e-07,8.2e-07,8.2e-07,0,0,8.2e-07
1406620800,9.4e-07,9.2e-07,9.2e-07,9.4e-07,0.24761712,267170.87594354,9.2e-07
1406635200,9.4e-07,9.4e-07,9.4e-07,9.4e-07,0,0,9.4e-07
1406649600,9.4e-07,9.4e-07,9.4e-07,9.4e-07,0,0,9.4e-07
1406664000,9.4e-07,9.4e-07,9.4e-07,9.4e-07,0,0,9.4e-07
