date,high,low,open,close,volume,quoteVolume,weightedAverage
1440532800,6.9e-05,1.5e-07,5e-07,2.4e-07,38.4403385,179625596.00242,2.1e-07
1440547200,3.3e-07,2.2e-07,2.5e-07,3e-07,16.95378323,61536041.960905,2.7e-07
1440561600,3e-07,1.9e-07,2.5e-07,2.2e-07,7.18768307,29627561.698109,2.4e-07
1440576000,2.6e-07,2e-07,2.2e-07,2.3e-07,15.12357911,67563180.085023,2.2e-07
1440590400,3e-07,1.4e-07,2.4e-07,2e-07,43.22089357,204038675.45303,2.1e-07
1440604800,2.3e-07,1.5e-07,2.1e-07,2.1e-07,17.06188254,86810387.151701,1.9e-07
1440619200,2.3e-07,1.7e-07,2.2e-07,1.8e-07,13.72132521,70571123.441682,1.9e-07
1440633600,2e-07,1.7e-07,1.8e-07,1.7e-07,2.23626177,12426629.038647,1.7e-07
1440648000,2.4e-07,1.9e-07,1.9e-07,2.1e-07,14.57986248,65511476.797562,2.2e-07
1440662400,2.2e-07,2e-07,2.2e-07,2.2e-07,4.53674019,22070353.096104,2e-07
1440676800,2.2e-07,2e-07,2.1e-07,2.1e-07,7.92640411,38407099.198688,2e-07
1440691200,2.1e-07,1.8e-07,2.1e-07,1.9e-07,12.64767355,64558474.734061,1.9e-07
1440705600,2e-07,1.8e-07,1.9e-07,1.9e-07,0.80702325,4353752.6320352,1.8e-07
1440720000,2.1e-07,1.9e-07,1.9e-07,1.9e-07,5.91366511,29659510.328024,1.9e-07
1440734400,1.9e-07,1.6e-07,1.9e-07,1.6e-07,9.54797648,56123234.0604,1.7e-07
1440748800,1.8e-07,1.6e-07,1.7e-07,1.8e-07,3.82668544,22595857.870158,1.6e-07
1440763200,1.8e-07,1.6e-07,1.8e-07,1.7e-07,0.7939298,4693307.9361298,1.6e-07
1440777600,1.7e-07,1.5e-07,1.7e-07,1.5e-07,4.66641626,28889753.006311,1.6e-07
1440792000,1.7e-07,1.5e-07,1.5e-07,1.7e-07,1.89465238,12083098.015763,1.5e-07
1440806400,1.7e-07,1.7e-07,1.7e-07,1.7e-07,1.39873672,8227863.1017576,1.7e-07
1440820800,1.8e-07,1.5e-07,1.8e-07,1.5e-07,1.59729012,10203500.103319,1.5e-07
1440835200,1.7e-07,1.5e-07,1.7e-07,1.6e-07,0.21793133,1365116.3683993,1.5e-07
1440849600,1.7e-07,1.5e-07,1.5e-07,1.7e-07,3.50323178,21098091.260511,1.6e-07
1440864000,1.7e-07,1.5e-07,1.6e-07,1.7e-07,1.60601848,10042513.747224,1.5e-07
