date,high,low,open,close,volume,quoteVolume,weightedAverage
1408435200,5.1e-05,2.85e-05,5.1e-05,2.85e-05,0.32416116,10022.95409461,3.234e-05
1408449600,3e-05,2.4e-05,2.85e-05,2.4e-05,2.1573165,83875.66742231,2.572e-05
1408464000,2.589e-05,2.012e-05,2.587e-05,2.1e-05,0.67782218,30506.12207382,2.221e-05
1408478400,2.29e-05,2.04e-05,2.29e-05,2.04e-05,1.08900542,51555.77215006,2.112e-05
1408492800,2.041e-05,1.919e-05,2.041e-05,1.919e-05,0.71496551,35504.85368565,2.013e-05
1408507200,2.021e-05,1.956e-05,2e-05,1.956e-05,0.76190323,38154.02162794,1.996e-05
1408521600,2.244e-05,1.557e-05,1.958e-05,2.244e-05,1.4571316,84436.82358355,1.725e-05
1408536000,2.189e-05,1.6e-05,2.088e-05,1.6e-05,0.90773786,46676.17981111,1.944e-05
1408550400,2.317e-05,2.021e-05,2.187e-05,2.316e-05,0.57977936,26697.36678212,2.171e-05
1408564800,2.315e-05,2.038e-05,2.315e-05,2.038e-05,0.31821025,14259.57417246,2.231e-05
1408579200,2.316e-05,2.05e-05,2.051e-05,2.316e-05,0.55329399,25239.09332335,2.192e-05
1408593600,2.749e-05,2.295e-05,2.316e-05,2.584e-05,0.34891768,15036.30318144,2.32e-05
1408608000,2.625e-05,2.499e-05,2.499e-05,2.499e-05,0.11134308,4313.38835673,2.581e-05
1408622400,2.6e-05,1.755e-05,2.557e-05,1.783e-05,0.94948689,42641.39641168,2.226e-05
1408636800,2.275e-05,1.9e-05,2e-05,2.253e-05,0.58369134,26548.02524102,2.198e-05
1408651200,2.275e-05,2.002e-05,2.273e-05,2.275e-05,0.1361492,6159.67933071,2.21e-05
1408665600,2.275e-05,2.24e-05,2.275e-05,2.24e-05,0.23353988,10265.96565246,2.274e-05
1408680000,2.275e-05,2.274e-05,2.274e-05,2.275e-05,0.1940594,8530.29800763,2.274e-05
1408694400,2.275e-05,2.15e-05,2.275e-05,2.275e-05,0.68268597,31060.12371958,2.197e-05
1408708800,2.275e-05,2.2e-05,2.2e-05,2.275e-05,1.0685,47000,2.273e-05
1408723200,2.527e-05,1.789e-05,2.275e-05,2.527e-05,3.86522725,180882.00395013,2.136e-05
1408737600,2.523e-05,2.299e-05,2.299e-05,2.3e-05,1.9516842,77855.05655212,2.506e-05
1408752000,2.532e-05,2.301e-05,2.495e-05,2.301e-05,3.15819101,125053.38853035,2.525e-05
1408766400,2.48e-05,2.052e-05,2.302e-05,2.052e-05,0.64524993,28600.4550591,2.256e-05
1408780800,2.5e-05,1.953e-05,2.312e-05,2.499e-05,0.49186198,19860.59383685,2.476e-05
1408795200,2.474e-05,2.46e-05,2.474e-05,2.474e-05,0.07071018,2859.66572352,2.472e-05
1408809600,2.384e-05,1.953e-05,2.384e-05,2.38e-05,1.64980138,82770.24759772,1.993e-05
1408824000,2.381e-05,1.955e-05,2.331e-05,1.955e-05,0.55675007,25995.18429544,2.141e-05
1408838400,2.013e-05,1.956e-05,1.957e-05,2.013e-05,0.0400932,2042.80957443,1.962e-05
1408852800,2.38e-05,2.127e-05,2.127e-05,2.281e-05,0.23962086,10818.49904617,2.214e-05
1408867200,2.108e-05,2.104e-05,2.108e-05,2.104e-05,0.31151257,14798.37128674,2.105e-05
1408881600,2.338e-05,2.104e-05,2.104e-05,2.291e-05,0.04675436,2140.09622718,2.184e-05
1408896000,2.179e-05,2.104e-05,2.105e-05,2.162e-05,0.1526019,7225.318367,2.112e-05
1408910400,2.354e-05,2.248e-05,2.288e-05,2.354e-05,0.04132048,1788.64293631,2.31e-05
1408924800,2.232e-05,2.099e-05,2.232e-05,2.099e-05,0.88601839,42041.04577731,2.107e-05
1408939200,2.099e-05,2.099e-05,2.099e-05,2.099e-05,0.26338252,12548,2.099e-05
1408953600,2.345e-05,2.026e-05,2.15e-05,2.026e-05,0.51088831,24301.5331868,2.102e-05
1408968000,2.225e-05,1.956e-05,2.026e-05,2.2e-05,1.75609527,84088.9802802,2.088e-05
