date,high,low,open,close,volume,quoteVolume,weightedAverage
1407772800,0.0001,6.6e-06,0.0001,8.74e-06,0.7507251,90791.58892532,8.26e-06
1407787200,9.99e-06,6e-06,9e-06,6.06e-06,1.53452427,214927.98840753,7.13e-06
1407801600,7.18e-06,5.2e-06,6.18e-06,5.77e-06,2.63871745,406833.97101731,6.48e-06
1407816000,6.31e-06,5e-06,5.74e-06,5.4e-06,0.24166905,46137.85091712,5.23e-06
1407830400,5.55e-06,5.36e-06,5.36e-06,5.47e-06,0.01150208,2102.71302916,5.47e-06
1407844800,5.89e-06,5e-06,5.55e-06,5.39e-06,0.5528195,100782.30384674,5.48e-06
1407859200,5.34e-06,3.51e-06,5.34e-06,4.99e-06,0.55831602,112425.72297012,4.96e-06
1407873600,5.31e-06,4.01e-06,4.99e-06,4.51e-06,0.74268337,148117.41734899,5.01e-06
1407888000,5.67e-06,4.29e-06,4.45e-06,4.58e-06,1.25586613,233568.57449517,5.37e-06
1407902400,4.99e-06,4.11e-06,4.67e-06,4.99e-06,0.84298015,178920.66202913,4.71e-06
1407916800,5.09e-06,4.55e-06,4.99e-06,4.82e-06,0.61125446,123610.95541024,4.94e-06
1407931200,5.18e-06,4.81e-06,4.84e-06,5.17e-06,2.36837162,473297.187294,5e-06
1407945600,5.19e-06,4.91e-06,5.17e-06,5.19e-06,1.1600403,228630.64990815,5.07e-06
1407960000,6.59e-06,5.13e-06,5.19e-06,5.27e-06,1.85066833,338361.32884423,5.46e-06
1407974400,5.4e-06,5.11e-06,5.18e-06,5.16e-06,0.363166,70374.05124879,5.16e-06
1407988800,1.054e-05,5.11e-06,5.16e-06,5.65e-06,3.16280296,430766.73070535,7.34e-06
1408003200,5.69e-06,5.13e-06,5.57e-06,5.21e-06,1.26070987,238424.58470467,5.28e-06
1408017600,5.5e-06,5.11e-06,5.21e-06,5.3e-06,1.7746686,337170.99271801,5.26e-06
1408032000,5.24e-06,4.81e-06,5.09e-06,4.85e-06,0.35911024,72275.60949615,4.96e-06
1408046400,5.21e-06,4.82e-06,4.86e-06,5.1e-06,0.09769759,19612.33727557,4.98e-06
1408060800,6e-06,4.82e-06,4.82e-06,4.9e-06,3.38106879,626070.24639262,5.4e-06
1408075200,5.4e-06,4.91e-06,4.91e-06,5e-06,0.14125303,26873.23517521,5.25e-06
1408089600,5.68e-06,4.74e-06,5.19e-06,4.76e-06,4.12638362,771931.96034547,5.34e-06
1408104000,4.95e-06,4.74e-06,4.76e-06,4.8e-06,2.10285542,437762.40692995,4.8e-06
1408118400,5e-06,4.74e-06,4.84e-06,4.89e-06,0.53858688,110188.86238723,4.88e-06
1408132800,5.19e-06,4.51e-06,5.16e-06,4.51e-06,0.66863155,135547.73420545,4.93e-06
1408147200,4.84e-06,4.5e-06,4.51e-06,4.74e-06,0.80238945,172517.13342639,4.65e-06
1408161600,4.84e-06,4.2e-06,4.74e-06,4.2e-06,0.20922676,46334.41112285,4.51e-06
1408176000,4.79e-06,4.28e-06,4.41e-06,4.79e-06,0.89513215,199219.5356389,4.49e-06
1408190400,4.97e-06,4.62e-06,4.7e-06,4.86e-06,0.84185271,173171.45808346,4.86e-06
1408204800,4.99e-06,4.8e-06,4.83e-06,4.8e-06,0.45770619,94998.32157814,4.81e-06
1408219200,5.14e-06,4.8e-06,4.8e-06,5.04e-06,0.53914311,110482.50325248,4.87e-06
1408233600,4.97e-06,4.5e-06,4.97e-06,4.77e-06,0.1991499,41409.95815198,4.8e-06
1408248000,5e-06,4.7e-06,4.86e-06,4.7e-06,0.13702222,28491.92026417,4.8e-06
1408262400,4.91e-06,4.45e-06,4.63e-06,4.75e-06,0.2839236,61036.1803103,4.65e-06
1408276800,4.75e-06,4.65e-06,4.75e-06,4.66e-06,1.02585747,218326.32932796,4.69e-06
1408291200,4.72e-06,4.65e-06,4.66e-06,4.72e-06,4.03289884,857015.28329138,4.7e-06
1408305600,4.7e-06,4.46e-06,4.65e-06,4.67e-06,0.09373266,20448.6545613,4.58e-06
1408320000,4.84e-06,4.56e-06,4.63e-06,4.84e-06,0.07523319,16104.53467218,4.67e-06
1408334400,4.85e-06,4.49e-06,4.85e-06,4.57e-06,0.78487043,172645.18724663,4.54e-06
1408348800,4.57e-06,4.45e-06,4.57e-06,4.45e-06,1.01868302,226126.72484768,4.5e-06
1408363200,4.56e-06,4.02e-06,4.45e-06,4.3e-06,0.94798254,224098.80217758,4.23e-06
1408377600,4.32e-06,4.17e-06,4.3e-06,4.25e-06,0.27939172,64819.64422711,4.31e-06
1408392000,4.41e-06,4.03e-06,4.41e-06,4.09e-06,0.23134715,54879.87011108,4.21e-06
1408406400,4.19e-06,4.1e-06,4.19e-06,4.1e-06,0.1003884,24386,4.11e-06
1408420800,4.43e-06,4.1e-06,4.11e-06,4.25e-06,0.17987461,43239.44274795,4.15e-06
1408435200,4.43e-06,4.15e-06,4.43e-06,4.22e-06,0.02272092,5350.41309255,4.24e-06
1408449600,4.32e-06,4.21e-06,4.22e-06,4.25e-06,0.2734298,64156.4379882,4.26e-06
1408464000,4.5e-06,4.26e-06,4.26e-06,4.45e-06,0.11462132,25553.53252803,4.48e-06
1408478400,4.55e-06,4.45e-06,4.45e-06,4.55e-06,0.01842649,4106.70180572,4.48e-06
1408492800,4.38e-06,4.38e-06,4.38e-06,4.38e-06,0.0044019,1005,4.38e-06
1408507200,4.8e-06,4.45e-06,4.6e-06,4.8e-06,0.11705568,24941.04025656,4.69e-06
1408521600,4.82e-06,4.66e-06,4.66e-06,4.82e-06,0.07633751,16017.24223813,4.76e-06
1408536000,4.95e-06,4.71e-06,4.82e-06,4.8e-06,0.30233013,62224.73245724,4.85e-06
1408550400,4.94e-06,4.81e-06,4.81e-06,4.9e-06,0.07846426,16009.278834,4.9e-06
1408564800,4.9e-06,4.75e-06,4.9e-06,4.75e-06,0.28581745,58994.89274434,4.84e-06
1408579200,4.9e-06,4.76e-06,4.9e-06,4.76e-06,0.05075335,10576.20315077,4.79e-06
1408593600,4.9e-06,4.75e-06,4.9e-06,4.75e-06,0.28642649,59850.15955766,4.78e-06
1408608000,4.8e-06,4.5e-06,4.8e-06,4.52e-06,1.37597537,292065.670225,4.71e-06
1408622400,4.85e-06,4.52e-06,4.52e-06,4.6e-06,0.37936774,83141.42358939,4.56e-06
1408636800,4.99e-06,4.6e-06,4.6e-06,4.99e-06,0.44701993,91538.31670502,4.88e-06
1408651200,4.97e-06,4.6e-06,4.61e-06,4.97e-06,0.00441786,956.15532843,4.62e-06
1408665600,4.98e-06,4.62e-06,4.96e-06,4.67e-06,0.25557183,53092.46113748,4.81e-06
1408680000,4.66e-06,4.55e-06,4.66e-06,4.56e-06,0.46678053,101669.57007877,4.59e-06
1408694400,4.7e-06,4.45e-06,4.57e-06,4.45e-06,0.1795367,39626.01198109,4.53e-06
1408708800,4.61e-06,4.46e-06,4.46e-06,4.61e-06,0.36750311,81377.63040122,4.51e-06
1408723200,4.62e-06,4.61e-06,4.61e-06,4.61e-06,0.05816194,12597.69411968,4.61e-06
1408737600,4.6e-06,4.28e-06,4.6e-06,4.28e-06,0.12026297,27552.9,4.36e-06
1408752000,4.34e-06,4.32e-06,4.32e-06,4.34e-06,0.0039262,905,4.33e-06
1408766400,4.6e-06,4.4e-06,4.59e-06,4.41e-06,0.06114429,13591.89088422,4.49e-06
1408780800,4.72e-06,4.35e-06,4.35e-06,4.5e-06,0.27183104,58331.95054613,4.66e-06
1408795200,4.8e-06,4.44e-06,4.71e-06,4.51e-06,0.26043572,54555.95403397,4.77e-06
1408809600,4.61e-06,4.5e-06,4.5e-06,4.61e-06,0.11582075,25683.99132,4.5e-06
1408824000,4.66e-06,4.5e-06,4.5e-06,4.66e-06,0.04446835,9832.72281063,4.52e-06
1408838400,4.66e-06,4.5e-06,4.66e-06,4.5e-06,0.08183958,17900,4.57e-06
1408852800,4.5e-06,4.41e-06,4.5e-06,4.41e-06,0.00524869,1189.16099773,4.41e-06
1408867200,4.41e-06,4.26e-06,4.37e-06,4.41e-06,0.1485733,34167.91783563,4.34e-06
1408881600,4.41e-06,4.41e-06,4.41e-06,4.41e-06,0.00099375,225.34040926,4.41e-06
1408896000,4.41e-06,4.28e-06,4.41e-06,4.28e-06,0.04310376,10054.14258393,4.28e-06
1408910400,4.3e-06,4.3e-06,4.3e-06,4.3e-06,0.02812587,6540.9,4.3e-06
1408924800,4.41e-06,4.29e-06,4.41e-06,4.41e-06,0.34750588,78935.982801,4.4e-06
1408939200,4.44e-06,4.41e-06,4.41e-06,4.41e-06,0.15731967,35672.62981161,4.41e-06
1408953600,4.54e-06,4.35e-06,4.48e-06,4.35e-06,0.08807231,19848.53567865,4.43e-06
1408968000,4.36e-06,4.3e-06,4.35e-06,4.3e-06,0.46584575,107250,4.34e-06
1408982400,4.3e-06,4.29e-06,4.3e-06,4.3e-06,0.12160472,28284.41592494,4.29e-06
1408996800,4.44e-06,4.3e-06,4.3e-06,4.44e-06,0.42647178,98458.55398531,4.33e-06
1409011200,4.64e-06,4.34e-06,4.34e-06,4.63e-06,0.71282876,157772.83404254,4.51e-06
1409025600,4.61e-06,4.4e-06,4.41e-06,4.44e-06,0.34113155,77244.40475251,4.41e-06
1409040000,4.56e-06,4.44e-06,4.44e-06,4.56e-06,0.15366429,34025.23011072,4.51e-06
1409054400,4.8e-06,4.45e-06,4.52e-06,4.5e-06,1.81045198,394925.42072622,4.58e-06
1409068800,4.52e-06,4.45e-06,4.5e-06,4.45e-06,0.59719634,132711.38752622,4.49e-06
1409083200,4.53e-06,4.31e-06,4.53e-06,4.31e-06,0.14434617,32498.29546142,4.44e-06
1409097600,4.6e-06,4.33e-06,4.4e-06,4.34e-06,0.34814303,77578.52481409,4.48e-06
1409112000,4.64e-06,4.32e-06,4.32e-06,4.59e-06,0.45114899,98557.70502064,4.57e-06
1409126400,4.6e-06,4.39e-06,4.6e-06,4.39e-06,0.08807434,20006.78231912,4.4e-06
1409140800,4.63e-06,4.39e-06,4.4e-06,4.4e-06,0.28039734,62434.9097414,4.49e-06
1409155200,4.4e-06,4.4e-06,4.4e-06,4.4e-06,0.028424,6460,4.4e-06
1409169600,4.45e-06,4.44e-06,4.44e-06,4.45e-06,0.00382407,859.58898875,4.44e-06
1409184000,4.45e-06,4.41e-06,4.41e-06,4.45e-06,0.11468194,25949.19101125,4.41e-06
1409198400,4.5e-06,4.42e-06,4.45e-06,4.42e-06,0.67919997,153420.21943968,4.42e-06
1409212800,4.47e-06,4.25e-06,4.42e-06,4.25e-06,1.47433715,336561.26906461,4.38e-06
1409227200,4.43e-06,4.25e-06,4.29e-06,4.26e-06,0.0872534,20479.88492495,4.26e-06
1409241600,4.29e-06,4.26e-06,4.26e-06,4.29e-06,0.03932376,9194,4.27e-06
1409256000,4.48e-06,4.43e-06,4.43e-06,4.48e-06,0.05115228,11474.66741071,4.45e-06
1409270400,4.48e-06,4.29e-06,4.46e-06,4.29e-06,0.27206449,61564.36896801,4.41e-06
1409284800,4.3e-06,4.29e-06,4.29e-06,4.29e-06,0.03443435,8015,4.29e-06
1409299200,4.29e-06,4.29e-06,4.29e-06,4.29e-06,0.04329168,10091.30070824,4.29e-06
1409313600,4.3e-06,4.29e-06,4.3e-06,4.29e-06,0.08596936,20019.704843,4.29e-06
1409328000,4.3e-06,4.29e-06,4.3e-06,4.3e-06,0.17565001,40943.06819924,4.29e-06
1409342400,4.37e-06,4.3e-06,4.3e-06,4.3e-06,0.0461396,10652,4.33e-06
1409356800,4.42e-06,4.31e-06,4.4e-06,4.32e-06,0.11491852,26120.24011933,4.39e-06
1409371200,4.39e-06,4.3e-06,4.32e-06,4.31e-06,0.14953338,34681.59001448,4.31e-06
1409385600,4.31e-06,4.31e-06,4.31e-06,4.31e-06,0.0004741,110,4.31e-06
1409400000,4.61e-06,4.3e-06,4.3e-06,4.34e-06,0.67108718,150726.61580538,4.45e-06
1409414400,4.34e-06,4.34e-06,4.34e-06,4.34e-06,0,0,4.34e-06
1409428800,4.43e-06,4.33e-06,4.33e-06,4.43e-06,0.07404153,16925.40238695,4.37e-06
1409443200,4.33e-06,4.2e-06,4.33e-06,4.33e-06,0.54115881,127556.88830898,4.24e-06
1409457600,4.49e-06,4.33e-06,4.33e-06,4.49e-06,0.02354025,5314.43429844,4.42e-06
1409472000,4.29e-06,4.28e-06,4.29e-06,4.29e-06,0.06034512,14076.43,4.28e-06
1409486400,4.28e-06,4.28e-06,4.28e-06,4.28e-06,0.0469088,10960,4.28e-06
1409500800,4.28e-06,4.28e-06,4.28e-06,4.28e-06,0.0360804,8430,4.28e-06
1409515200,4.56e-06,4.28e-06,4.39e-06,4.28e-06,0.15479083,34951.53468623,4.42e-06
1409529600,4.3e-06,4.28e-06,4.3e-06,4.3e-06,0.02374586,5546.15822381,4.28e-06
1409544000,4.3e-06,4.3e-06,4.3e-06,4.3e-06,0,0,4.3e-06
1409558400,4.29e-06,4.28e-06,4.28e-06,4.29e-06,0.03710777,8663.23310023,4.28e-06
1409572800,4.29e-06,4.28e-06,4.28e-06,4.28e-06,0.13692542,31989,4.28e-06
1409587200,4.28e-06,4.13e-06,4.28e-06,4.13e-06,0.73344666,172178.87853148,4.25e-06
1409601600,4.22e-06,4.15e-06,4.22e-06,4.15e-06,0.37218179,88212.42802891,4.21e-06
1409616000,4.26e-06,4.15e-06,4.15e-06,4.26e-06,0.28119715,66681.92127994,4.21e-06
1409630400,4.31e-06,4.25e-06,4.25e-06,4.26e-06,0.26755694,62530.41860783,4.27e-06
1409644800,4.4e-06,4.22e-06,4.27e-06,4.22e-06,0.46410437,108422.49553164,4.28e-06
1409659200,4.22e-06,4.18e-06,4.22e-06,4.18e-06,0.15658513,37116.62019006,4.21e-06
1409673600,4.22e-06,4.18e-06,4.18e-06,4.22e-06,0.05830491,13928.13674423,4.18e-06
1409688000,4.23e-06,4.2e-06,4.2e-06,4.22e-06,0.03974398,9429.1845971,4.21e-06
1409702400,4.3e-06,4.2e-06,4.2e-06,4.3e-06,0.02618974,6232.73681045,4.2e-06
1409716800,4.22e-06,4.21e-06,4.21e-06,4.22e-06,0.03839502,9112.496345,4.21e-06
1409731200,4.22e-06,4.2e-06,4.22e-06,4.2e-06,0.05771575,13680.18973286,4.21e-06
1409745600,4.21e-06,4.2e-06,4.2e-06,4.2e-06,0.00350835,834,4.2e-06
1409760000,4.3e-06,4.12e-06,4.2e-06,4.3e-06,0.04328764,10264.05,4.21e-06
1409774400,4.25e-06,4.2e-06,4.21e-06,4.2e-06,0.26848353,63797.86,4.2e-06
1409788800,4.15e-06,4.11e-06,4.12e-06,4.11e-06,0.06006803,14574.86,4.12e-06
1409803200,4.37e-06,4.19e-06,4.19e-06,4.37e-06,0.02700711,6356.24984403,4.24e-06
1409817600,4.3e-06,4.12e-06,4.2e-06,4.18e-06,0.06967644,16622.50008378,4.19e-06
1409832000,4.26e-06,4.12e-06,4.17e-06,4.25e-06,0.03880839,9339.50968474,4.15e-06
1409846400,4.16e-06,4.16e-06,4.16e-06,4.16e-06,0.04759456,11441,4.16e-06
1409860800,4.29e-06,4.14e-06,4.16e-06,4.14e-06,0.26345525,62229.00330208,4.23e-06
1409875200,4.14e-06,4.14e-06,4.14e-06,4.14e-06,0,0,4.14e-06
1409889600,4.34e-06,4.2e-06,4.2e-06,4.2e-06,0.16226747,38349.20613371,4.23e-06
1409904000,4.33e-06,4.2e-06,4.21e-06,4.24e-06,0.69482496,163942.74445179,4.23e-06
1409918400,4.34e-06,4.21e-06,4.21e-06,4.21e-06,0.04063354,9617.32403005,4.22e-06
1409932800,4.28e-06,4.21e-06,4.21e-06,4.22e-06,0.02171696,5137.305991,4.22e-06
1409947200,4.27e-06,4.2e-06,4.22e-06,4.27e-06,0.18304823,43380.36003284,4.21e-06
1409961600,4.26e-06,4.26e-06,4.26e-06,4.26e-06,0.00041748,98,4.26e-06
1409976000,4.26e-06,4.2e-06,4.2e-06,4.26e-06,0.01701228,4022.8,4.22e-06
1409990400,4.24e-06,4.15e-06,4.2e-06,4.24e-06,0.00325303,775.200405,4.19e-06
1410004800,4.27e-06,4.17e-06,4.25e-06,4.27e-06,0.03365573,7934.32275058,4.24e-06
1410019200,4.27e-06,4.19e-06,4.27e-06,4.21e-06,0.07470844,17729.53661179,4.21e-06
1410033600,4.3e-06,4.22e-06,4.28e-06,4.22e-06,0.09315555,21949.782148,4.24e-06
1410048000,4.22e-06,4.22e-06,4.22e-06,4.22e-06,0.08574426,20318.54541789,4.22e-06
1410062400,4.29e-06,4.22e-06,4.22e-06,4.29e-06,0.04183717,9902.29566739,4.22e-06
1410076800,4.22e-06,4.22e-06,4.22e-06,4.22e-06,0.0658672,15608.34123223,4.22e-06
1410091200,4.3e-06,4.22e-06,4.22e-06,4.3e-06,0.18981059,44571.81395349,4.25e-06
1410105600,4.23e-06,4.22e-06,4.23e-06,4.22e-06,0.02200347,5213.6108747,4.22e-06
1410120000,4.22e-06,4.22e-06,4.22e-06,4.22e-06,0.0004853,115,4.22e-06
1410134400,4.22e-06,4.22e-06,4.22e-06,4.22e-06,0,0,4.22e-06
1410148800,4.8e-06,4.22e-06,4.22e-06,4.58e-06,1.77636709,382931.16373087,4.63e-06
1410163200,4.58e-06,4.58e-06,4.58e-06,4.58e-06,0,0,4.58e-06
1410177600,4.49e-06,4.28e-06,4.41e-06,4.49e-06,0.04642832,10509.51927819,4.41e-06
1410192000,4.9e-06,4.32e-06,4.33e-06,4.5e-06,0.24153484,50888.79146138,4.74e-06
1410206400,4.5e-06,4.36e-06,4.49e-06,4.36e-06,0.01384174,3081.45129921,4.49e-06
1410220800,4.8e-06,4.36e-06,4.36e-06,4.8e-06,0.17923924,41102.42,4.36e-06
1410235200,4.77e-06,4.62e-06,4.77e-06,4.62e-06,0.03835262,8271.30500934,4.63e-06
