date,high,low,open,close,volume,quoteVolume,weightedAverage
1420776000,2.5e-05,1.52e-06,1.52e-06,2.64e-06,0.02692353,5258.46092656,5.12e-06
1420790400,3.4e-06,2.59e-06,2.65e-06,2.75e-06,0.20711869,70362.27301543,2.94e-06
1420804800,3.1e-06,2.74e-06,2.74e-06,2.89e-06,0.75698637,267378.94109506,2.83e-06
1420819200,4e-06,2.6e-06,2.6e-06,3.39e-06,0.64763686,192709.72273316,3.36e-06
1420833600,4.25e-06,3e-06,3.5e-06,3.4e-06,1.49547765,410649.58821176,3.64e-06
1420848000,3.71e-06,3e-06,3.4e-06,3.04e-06,0.64269633,202662.11862767,3.17e-06
1420862400,3.07e-06,2.51e-06,3.02e-06,2.61e-06,0.80378193,289755.17002592,2.77e-06
1420876800,2.8e-06,2.6e-06,2.64e-06,2.69e-06,0.26889723,100362.01826707,2.67e-06
1420891200,3.08e-06,2.65e-06,2.67e-06,2.89e-06,0.20856948,73577.24052593,2.83e-06
1420905600,3.23e-06,2.83e-06,2.91e-06,2.97e-06,0.33202376,112693.34038104,2.94e-06
1420920000,3.01e-06,2.7e-06,2.98e-06,2.7e-06,0.29009437,102942.24983022,2.81e-06
1420934400,2.95e-06,2.5e-06,2.71e-06,2.95e-06,0.4799147,181365.9108298,2.64e-06
1420948800,2.95e-06,2.95e-06,2.95e-06,2.95e-06,0,0,2.95e-06
1420963200,2.95e-06,2.86e-06,2.86e-06,2.95e-06,0.07560991,25806.61249008,2.92e-06
1420977600,2.8e-06,2.74e-06,2.79e-06,2.74e-06,0.02350226,8531.0528668,2.75e-06
1420992000,2.64e-06,2.59e-06,2.64e-06,2.62e-06,0.01865644,7117.91146819,2.62e-06
1421006400,2.62e-06,2.45e-06,2.62e-06,2.45e-06,0.22081794,89844.22525091,2.45e-06
1421020800,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0027,1000,2.7e-06
1421035200,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0,0,2.7e-06
1421049600,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0,0,2.7e-06
1421064000,2.47e-06,2.42e-06,2.47e-06,2.42e-06,0.57696138,235521.27839913,2.44e-06
1421078400,2.42e-06,1.59e-06,2.42e-06,2.2e-06,1.08459825,535183.78761693,2.02e-06
1421092800,2.5e-06,2.2e-06,2.49e-06,2.3e-06,0.0290764,12022.80185432,2.41e-06
1421107200,2.37e-06,2.25e-06,2.26e-06,2.25e-06,0.14794504,65668.07536221,2.25e-06
1421121600,2.28e-06,2.25e-06,2.26e-06,2.28e-06,0.01172457,5149.30954912,2.27e-06
1421136000,2.26e-06,2.26e-06,2.26e-06,2.26e-06,0.00013294,58.82520325,2.26e-06
1421150400,2.45e-06,2.26e-06,2.4e-06,2.45e-06,0.06780587,28488.64125156,2.38e-06
1421164800,2.65e-06,2.44e-06,2.44e-06,2.63e-06,0.16878282,65624.6289593,2.57e-06
1421179200,2.65e-06,2.63e-06,2.65e-06,2.63e-06,0.01768674,6720.03377136,2.63e-06
1421193600,2.73e-06,2.55e-06,2.55e-06,2.73e-06,0.01508811,5667.65201465,2.66e-06
1421208000,3e-06,2.59e-06,2.69e-06,2.88e-06,0.20740309,71959.16211018,2.88e-06
1421222400,2.79e-06,2.35e-06,2.79e-06,2.35e-06,0.23723065,100513.90429983,2.36e-06
1421236800,2.81e-06,2.5e-06,2.7e-06,2.6e-06,0.04020044,15117.5803786,2.65e-06
1421251200,2.77e-06,2.72e-06,2.77e-06,2.72e-06,0.00404252,1467.28567218,2.75e-06
1421265600,2.89e-06,2.41e-06,2.78e-06,2.45e-06,0.10122508,38357.14310085,2.63e-06
1421280000,3.08e-06,2.46e-06,2.46e-06,3.06e-06,0.15851877,53777.69205116,2.94e-06
1421294400,3.06e-06,2.79e-06,3.06e-06,3.06e-06,0.14070968,45988.38400721,3.05e-06
1421308800,2.85e-06,2.85e-06,2.85e-06,2.85e-06,0.001112,390.1754386,2.85e-06
1421323200,3.03e-06,2.62e-06,2.87e-06,2.62e-06,0.003232,1144.81430337,2.82e-06
1421337600,3.03e-06,2.79e-06,2.79e-06,3.03e-06,0.15664125,56093.12644206,2.79e-06
1421352000,3.03e-06,2.72e-06,3.03e-06,2.75e-06,0.02405856,8329.78070854,2.88e-06
1421366400,3.15e-06,2.75e-06,2.76e-06,3.15e-06,0.06042107,21707.22165478,2.78e-06
1421380800,3.15e-06,3.15e-06,3.15e-06,3.15e-06,0,0,3.15e-06
1421395200,3.05e-06,2.62e-06,3.03e-06,2.62e-06,0.13688402,47870.70977206,2.85e-06
1421409600,3.04e-06,2.97e-06,2.97e-06,3.04e-06,0.00426495,1432.48734374,2.97e-06
1421424000,3.06e-06,2.67e-06,2.92e-06,2.77e-06,0.02243885,7926.70510092,2.83e-06
1421438400,2.82e-06,2.82e-06,2.82e-06,2.82e-06,0.00123739,438.7937573,2.82e-06
1421452800,3.06e-06,2.96e-06,2.96e-06,3.06e-06,0.00296749,988.19737567,3e-06
1421467200,2.8e-06,2.79e-06,2.79e-06,2.8e-06,0.00104592,374.43619024,2.79e-06
1421481600,3.1e-06,2.8e-06,2.86e-06,2.8e-06,0.04358339,14420.9196273,3.02e-06
1421496000,3.1e-06,2.75e-06,2.77e-06,2.77e-06,0.04409779,14484.46270224,3.04e-06
1421510400,2.83e-06,2.82e-06,2.83e-06,2.82e-06,0.00613788,2174.82748992,2.82e-06
1421524800,2.76e-06,2.76e-06,2.76e-06,2.76e-06,0.00040977,148.47081454,2.76e-06
1421539200,2.8e-06,2.75e-06,2.75e-06,2.8e-06,0.01288626,4663.66142825,2.76e-06
1421553600,3.7e-06,2.84e-06,2.95e-06,2.84e-06,1.05398624,326965.68352636,3.22e-06
1421568000,3.26e-06,2.77e-06,2.86e-06,2.78e-06,0.05386821,18791.51126669,2.86e-06
1421582400,2.82e-06,2.62e-06,2.81e-06,2.71e-06,0.16552659,61296.68547807,2.7e-06
1421596800,2.67e-06,2.55e-06,2.67e-06,2.59e-06,0.3019438,116093.50409528,2.6e-06
1421611200,2.64e-06,2.53e-06,2.53e-06,2.64e-06,0.00569035,2157.4628543,2.63e-06
1421625600,2.74e-06,2.64e-06,2.64e-06,2.73e-06,0.04539868,16722.48494278,2.71e-06
1421640000,2.74e-06,2.5e-06,2.74e-06,2.71e-06,0.04589181,17437.73974806,2.63e-06
1421654400,2.71e-06,2.71e-06,2.71e-06,2.71e-06,0,0,2.71e-06
1421668800,2.69e-06,2.53e-06,2.6e-06,2.55e-06,0.21442448,84122.86372619,2.54e-06
1421683200,2.55e-06,2.5e-06,2.5e-06,2.55e-06,0.00340671,1339.72705233,2.54e-06
1421697600,2.51e-06,2.06e-06,2.5e-06,2.51e-06,0.11664011,48267.03794272,2.41e-06
1421712000,2.32e-06,2.32e-06,2.32e-06,2.32e-06,0.00152432,657.03860354,2.32e-06
1421726400,2.52e-06,2.52e-06,2.52e-06,2.52e-06,0.0041506,1647.06426471,2.52e-06
1421740800,2.52e-06,2.52e-06,2.52e-06,2.52e-06,0.01471155,5837.92063492,2.52e-06
1421755200,2.69e-06,2.49e-06,2.49e-06,2.69e-06,0.17691535,70771.25436282,2.49e-06
1421769600,2.69e-06,2.69e-06,2.69e-06,2.69e-06,0,0,2.69e-06
1421784000,2.69e-06,2.69e-06,2.69e-06,2.69e-06,0,0,2.69e-06
1421798400,2.67e-06,2.26e-06,2.67e-06,2.3e-06,0.04173337,16335.79147475,2.55e-06
1421812800,2.3e-06,2.3e-06,2.3e-06,2.3e-06,0,0,2.3e-06
1421827200,2.3e-06,2.3e-06,2.3e-06,2.3e-06,0,0,2.3e-06
