date,high,low,open,close,volume,quoteVolume,weightedAverage
1407974400,1.132e-05,1e-05,1.132e-05,1e-05,0.01401282,1397.36194699,1.002e-05
1407988800,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408003200,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408017600,2e-05,1.2e-05,1.2e-05,2e-05,0.04162389,2482.64998101,1.676e-05
1408032000,2e-05,2e-05,2e-05,2e-05,0,0,2e-05
1408046400,1.69e-05,6.1e-06,1.69e-05,7.03e-06,0.06352723,6738.32304895,9.42e-06
1408060800,7.03e-06,7.03e-06,7.03e-06,7.03e-06,0,0,7.03e-06
1408075200,7.03e-06,7.03e-06,7.03e-06,7.03e-06,0,0,7.03e-06
1408089600,7.03e-06,7.03e-06,7.03e-06,7.03e-06,0,0,7.03e-06
1408104000,7.03e-06,7.03e-06,7.03e-06,7.03e-06,0,0,7.03e-06
1408118400,1.801e-05,1.201e-05,1.49e-05,1.25e-05,0.2800279,18732.83308794,1.494e-05
1408132800,1.202e-05,1.119e-05,1.202e-05,1.119e-05,0.03098697,2758.63220085,1.123e-05
1408147200,1.103e-05,1.102e-05,1.103e-05,1.102e-05,0.00968889,879,1.102e-05
1408161600,1.102e-05,1.102e-05,1.102e-05,1.102e-05,0.00071334,64.732,1.102e-05
1408176000,1.69e-05,1.69e-05,1.69e-05,1.69e-05,0.02038922,1206.4633136,1.69e-05
1408190400,1.103e-05,1.1e-05,1.103e-05,1.1e-05,0.0061682,559.77013624,1.101e-05
1408204800,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.000506,46,1.1e-05
1408219200,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0,0,1.1e-05
1408233600,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0,0,1.1e-05
1408248000,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0,0,1.1e-05
1408262400,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0,0,1.1e-05
1408276800,1.152e-05,1.1e-05,1.1e-05,1.152e-05,0.05871376,5325.71670937,1.102e-05
1408291200,1.688e-05,1.688e-05,1.688e-05,1.688e-05,0.00215152,127.46,1.688e-05
1408305600,1.688e-05,1.688e-05,1.688e-05,1.688e-05,0,0,1.688e-05
1408320000,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.011343,945.25,1.2e-05
1408334400,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.000657,54.75,1.2e-05
1408348800,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,0,1.2e-05
1408363200,1.004e-05,1e-05,1.004e-05,1e-05,0.20982501,20977.99,1e-05
1408377600,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408392000,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408406400,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408420800,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408435200,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408449600,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408464000,1e-05,1e-05,1e-05,1e-05,0.02563,2563,1e-05
1408478400,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408492800,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408507200,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408521600,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408536000,1e-05,1e-05,1e-05,1e-05,0.01157,1157,1e-05
1408550400,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408564800,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408579200,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408593600,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408608000,1e-05,1e-05,1e-05,1e-05,0,0,1e-05
1408622400,1.19e-05,1.1e-05,1.1e-05,1.19e-05,0.00447919,405.48142874,1.104e-05
1408636800,1.1e-05,9.03e-06,1.1e-05,9.03e-06,0.02234398,2462.63363636,9.07e-06
1408651200,1.19e-05,1.19e-05,1.19e-05,1.19e-05,0.00412552,346.68319327,1.19e-05
1408665600,1.19e-05,1.19e-05,1.19e-05,1.19e-05,0.00028159,23.66386554,1.19e-05
1408680000,1.19e-05,1.19e-05,1.19e-05,1.19e-05,0,0,1.19e-05
1408694400,1.19e-05,1.19e-05,1.19e-05,1.19e-05,0,0,1.19e-05
1408708800,1.19e-05,1.19e-05,1.19e-05,1.19e-05,0.01614317,1356.56931483,1.19e-05
1408723200,1.19e-05,1.19e-05,1.19e-05,1.19e-05,0,0,1.19e-05
1408737600,1.19e-05,1.19e-05,1.19e-05,1.19e-05,0,0,1.19e-05
1408752000,1.547e-05,1.547e-05,1.547e-05,1.547e-05,0.00053023,34.27537168,1.547e-05
1408766400,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.00012741,10.61833333,1.2e-05
1408780800,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,0,1.2e-05
1408795200,1.45e-05,1.45e-05,1.45e-05,1.45e-05,0.00011002,7.58827586,1.45e-05
1408809600,1.45e-05,1.45e-05,1.45e-05,1.45e-05,0,0,1.45e-05
1408824000,1.17e-05,1.17e-05,1.17e-05,1.17e-05,0.00284906,243.5101169,1.17e-05
1408838400,1.17e-05,1.17e-05,1.17e-05,1.17e-05,0,0,1.17e-05
1408852800,1.17e-05,1.17e-05,1.17e-05,1.17e-05,0,0,1.17e-05
1408867200,1.134e-05,1.134e-05,1.134e-05,1.134e-05,0.0025534,225.16789979,1.134e-05
1408881600,1.134e-05,1.134e-05,1.134e-05,1.134e-05,0,0,1.134e-05
1408896000,1.134e-05,1.134e-05,1.134e-05,1.134e-05,0,0,1.134e-05
1408910400,1.134e-05,1.134e-05,1.134e-05,1.134e-05,0,0,1.134e-05
1408924800,1.45e-05,1.45e-05,1.45e-05,1.45e-05,0.0018125,125,1.45e-05
1408939200,1.134e-05,9.21e-06,1.134e-05,9.21e-06,0.00046212,50.17671053,9.21e-06
1408953600,9.21e-06,9.21e-06,9.21e-06,9.21e-06,0,0,9.21e-06
1408968000,9.5e-06,9.5e-06,9.5e-06,9.5e-06,0.00912,960,9.5e-06
1408982400,1.15e-05,9.5e-06,1.01e-05,1.15e-05,0.16062636,14689.87746188,1.093e-05
1408996800,9.55e-06,9.55e-06,9.55e-06,9.55e-06,0.4865725,50950,9.55e-06
1409011200,9.55e-06,9.55e-06,9.55e-06,9.55e-06,0,0,9.55e-06
1409025600,9.55e-06,9.55e-06,9.55e-06,9.55e-06,0,0,9.55e-06
1409040000,1.051e-05,1.051e-05,1.051e-05,1.051e-05,0.00500476,476.19047619,1.051e-05
1409054400,1.147e-05,1.022e-05,1.05e-05,1.147e-05,0.01779954,1609,1.106e-05
1409068800,1.001e-05,1e-05,1.001e-05,1e-05,0.0064601,645.51099999,1e-05
1409083200,1.131e-05,1.097e-05,1.097e-05,1.131e-05,0.04042957,3639,1.111e-05
1409097600,1.131e-05,1.131e-05,1.131e-05,1.131e-05,0,0,1.131e-05
1409112000,9.33e-06,9e-06,9.33e-06,9e-06,0.09419857,10442,9.02e-06
1409126400,9e-06,9e-06,9e-06,9e-06,0,0,9e-06
1409140800,1.061e-05,1.061e-05,1.061e-05,1.061e-05,0.00477882,450.40772532,1.061e-05
1409155200,1.061e-05,1.061e-05,1.061e-05,1.061e-05,0,0,1.061e-05
1409169600,8.8e-06,8.8e-06,8.8e-06,8.8e-06,0.03326399,3779.99980599,8.8e-06
1409184000,8.8e-06,8.8e-06,8.8e-06,8.8e-06,0,0,8.8e-06
1409198400,1.06e-05,1.057e-05,1.057e-05,1.06e-05,0.09996676,9435,1.059e-05
1409212800,1.055e-05,1.055e-05,1.055e-05,1.055e-05,0.40732629,38609.12779928,1.055e-05
1409227200,1.055e-05,1.055e-05,1.055e-05,1.055e-05,0.001899,180,1.055e-05
1409241600,1.06e-05,1.06e-05,1.06e-05,1.06e-05,0.00848,800,1.06e-05
1409256000,1.055e-05,8.81e-06,1.055e-05,8.81e-06,0.06426811,6742.69601037,9.53e-06
1409270400,1.054e-05,1.054e-05,1.054e-05,1.054e-05,0.82668748,78433.34748335,1.054e-05
1409284800,1.054e-05,1.007e-05,1.054e-05,1.007e-05,0.021,2085.40289867,1.007e-05
1409299200,1.053e-05,1.053e-05,1.053e-05,1.053e-05,0.00542833,515.51095953,1.053e-05
1409313600,1.053e-05,8.96e-06,1.053e-05,9.39e-06,0.71447114,79582.22378017,8.97e-06
1409328000,1.045e-05,1.045e-05,1.045e-05,1.045e-05,0.03056512,2924.89214227,1.045e-05
1409342400,1.001e-05,1.001e-05,1.001e-05,1.001e-05,0.02175,2172.82717283,1.001e-05
1409356800,9.55e-06,9.53e-06,9.55e-06,9.53e-06,0.0169754,1780,9.53e-06
1409371200,9.53e-06,9.53e-06,9.53e-06,9.53e-06,0,0,9.53e-06
1409385600,9.53e-06,9.53e-06,9.53e-06,9.53e-06,0.01902188,1996,9.53e-06
1409400000,9.53e-06,9.53e-06,9.53e-06,9.53e-06,0.02452534,2573.48834428,9.53e-06
1409414400,9.53e-06,9.53e-06,9.53e-06,9.53e-06,0,0,9.53e-06
1409428800,1.06e-05,1.045e-05,1.045e-05,1.06e-05,0.33626927,32088.94078214,1.047e-05
1409443200,9.62e-06,8.82e-06,9.62e-06,8.82e-06,0.0442562,4967.61166418,8.9e-06
1409457600,8.82e-06,8.51e-06,8.82e-06,8.51e-06,0.06469327,7462.22585854,8.66e-06
1409472000,8.5e-06,8.5e-06,8.5e-06,8.5e-06,0.012325,1450,8.5e-06
1409486400,8.5e-06,8.5e-06,8.5e-06,8.5e-06,0,0,8.5e-06
1409500800,9.61e-06,8.59e-06,9.23e-06,9.61e-06,0.97011942,106136.58480748,9.14e-06
1409515200,9.9e-06,9.3e-06,9.43e-06,9.9e-06,0.06657147,7089.14631043,9.39e-06
1409529600,9.91e-06,9.9e-06,9.9e-06,9.91e-06,0.004555,460,9.9e-06
1409544000,9.91e-06,9.91e-06,9.91e-06,9.91e-06,0.27748921,28000.9301642,9.91e-06
1409558400,9.91e-06,9.9e-06,9.91e-06,9.9e-06,0.01313709,1325.98982688,9.9e-06
1409572800,1.031e-05,1.031e-05,1.031e-05,1.031e-05,0.00029999,29.09796314,1.031e-05
1409587200,9.92e-06,9.91e-06,9.92e-06,9.92e-06,0.12263562,12366.64799682,9.91e-06
1409601600,9.91e-06,9.3e-06,9.91e-06,9.3e-06,0.13394759,13533.88922638,9.89e-06
1409616000,1.028e-05,9.3e-06,9.3e-06,1.028e-05,0.00787951,813.33333333,9.68e-06
1409630400,9.31e-06,9.3e-06,9.31e-06,9.3e-06,0.00614314,660,9.3e-06
1409644800,9.34e-06,9.34e-06,9.34e-06,9.34e-06,0.0091532,980,9.34e-06
1409659200,9.34e-06,9.34e-06,9.34e-06,9.34e-06,0,0,9.34e-06
