date,high,low,open,close,volume,quoteVolume,weightedAverage
1477670400,3299.99999999,2.048,2500,29,1744.19931565,12.79903421,136.27585386
1477684800,60,15.5,27.00000001,19.5,1569.42180137,58.69239983,26.73977901
1477699200,22.8,8.20632352,18.40000003,9.29997997,774.05099612,56.25415516,13.75989016
1477713600,15.61000202,5.51,9.01300001,5.65,521.1610269,54.81775866,9.50715679
1477728000,11.05,5.350011,5.65,8.14809997,481.82486959,60.46721601,7.96836536
1477742400,8.9,6.00000011,8.14809997,8.14709759,379.02035686,53.09581203,7.13842283
1477756800,8.13,4.99016451,8.061,5.5200002,403.05343177,65.69133449,6.13556468
1477771200,5.80000017,2.7637689,5.55,2.85000004,413.2994164,108.84518909,3.79713076
1477785600,2.92000021,1.97,2.82000021,1.97500001,215.00302992,86.55588397,2.48397936
1477800000,2.2,1.15133129,1.976,1.32,213.50413581,128.58491745,1.66041352
1477814400,1.777,1.115,1.32,1.30650014,212.68392727,153.79991865,1.38286111
1477828800,1.35999999,1.04,1.34316486,1.07,181.05814454,148.79666326,1.21681589
1477843200,1.163999,0.80287791,1.07,0.82130005,160.20455061,171.44281104,0.93444892
1477857600,0.98,0.71000002,0.82130007,0.8019,133.48360899,164.04713927,0.81369056
1477872000,0.88286796,0.64,0.800002,0.70000001,88.61946722,115.21036251,0.76919701
1477886400,0.76987623,0.678001,0.70000001,0.69499995,53.89576505,75.70041026,0.71196133
1477900800,0.82934798,0.67800122,0.67800127,0.78088437,99.10152137,127.00821085,0.78027649
1477915200,0.83,0.67800122,0.77000143,0.73,116.71060969,155.2283888,0.75186382
1477929600,1.8375,0.70200001,0.73,1.57683999,541.51808731,456.09483846,1.18729273
1477944000,3.58,1.55999997,1.55999999,2.29999999,4016.4831262,1516.54659418,2.6484403
1477958400,2.37,1.59798518,2.29999999,2.31077701,712.15306458,365.28967484,1.94955706
1477972800,2.53999999,1.83,2.31077701,2.01100001,749.37772413,336.12894233,2.22943528
1477987200,2.82,1.95,2.01999995,2.6,1442.76164535,576.91479468,2.50082275
1478001600,2.72000425,2.15,2.586,2.24039501,1068.53668157,443.24098383,2.41073528
1478016000,2.29999,2.025,2.24040001,2.08749999,532.80477774,249.26332092,2.13751776
1478030400,2.10419997,1.8,2.06579114,1.82000002,603.81456396,314.71268977,1.91862159
1478044800,1.86,1.35,1.82000002,1.46867291,641.6644822,409.10482981,1.5684598
1478059200,1.742,1.31,1.46867293,1.45999999,371.5161186,251.65047159,1.47631799
1478073600,1.69924468,1.44,1.45999999,1.515,388.87065204,246.22721706,1.57931627
1478088000,1.55232,1.18999002,1.52,1.230005,447.0069063,330.92870097,1.35076499
1478102400,2.1,1.18,1.22102002,1.62000501,1482.09148106,908.57782728,1.63122127
1478116800,1.66201352,1.255,1.6205,1.255,555.7485012,396.43330236,1.40187138
1478131200,1.40215891,1.23511022,1.255,1.298995,249.54413381,189.68208246,1.31559149
1478145600,1.4122,1.21999,1.28551003,1.4122,286.30521037,223.36222793,1.28179779
1478160000,1.414005,1.2304713,1.41001,1.24760497,339.47500013,261.92889853,1.29605783
1478174400,1.51001,1.23999999,1.24660498,1.33,670.63424453,498.62306578,1.34497236
1478188800,1.52,1.26,1.32999999,1.285262,942.55917123,684.15995329,1.37768831
