date,high,low,open,close,volume,quoteVolume,weightedAverage
1400025600,1.9e-05,4e-06,1.899e-05,9.85e-06,0.30623848,25863.73558109,1.184e-05
1400040000,1.155e-05,6.01e-06,9.9e-06,6.56e-06,0.30863418,33860.5465055,9.11e-06
1400054400,6.55e-06,6.01e-06,6.55e-06,6.03e-06,0.15041929,24369.16877528,6.17e-06
1400068800,8.95e-06,6.03e-06,8.95e-06,6.03e-06,0.07447685,11507.62923,6.47e-06
1400083200,6.2e-06,5.72e-06,6.01e-06,6.06e-06,0.18695408,30549.95714171,6.11e-06
1400097600,8.09e-06,6.02e-06,6.55e-06,6.02e-06,0.27586029,43427.88130067,6.35e-06
1400112000,7.99e-06,5e-06,6.02e-06,5e-06,0.09281242,16651.46612368,5.57e-06
1400126400,5e-06,4.1e-06,4.1e-06,5e-06,0.00804676,1719.42338966,4.67e-06
1400140800,4.14e-06,4e-06,4.12e-06,4e-06,0.23721407,58903.41067573,4.02e-06
1400155200,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.00097428,272.90892139,3.57e-06
1400169600,4.79e-06,2.3e-06,4.79e-06,2.3e-06,0.02571311,8850.96450939,2.9e-06
1400184000,2.57e-06,2.55e-06,2.55e-06,2.57e-06,0.01222931,4772.84285714,2.56e-06
1400198400,2.57e-06,2.57e-06,2.57e-06,2.57e-06,0.00092182,358.68632524,2.57e-06
1400212800,2.57e-06,2.57e-06,2.57e-06,2.57e-06,0,0,2.57e-06
1400227200,2.57e-06,2.57e-06,2.57e-06,2.57e-06,0,0,2.57e-06
1400241600,2.57e-06,2.57e-06,2.57e-06,2.57e-06,0,0,2.57e-06
1400256000,3.96e-06,2.59e-06,2.59e-06,3.96e-06,0.00060399,180.30700068,3.34e-06
1400270400,3.96e-06,2.6e-06,3.96e-06,2.6e-06,0.05594068,18423.73618034,3.03e-06
1400284800,2.6e-06,2.6e-06,2.6e-06,2.6e-06,0,0,2.6e-06
1400299200,2.6e-06,2.56e-06,2.6e-06,2.56e-06,0.00857239,3327.05540758,2.57e-06
1400313600,2.57e-06,2.57e-06,2.57e-06,2.57e-06,0.05834403,22701.95881907,2.57e-06
1400328000,2.56e-06,2.56e-06,2.56e-06,2.56e-06,0.0090741,3544.57338306,2.56e-06
1400342400,4.55e-06,1.33e-06,2.56e-06,4.01e-06,0.08823448,25208.5985268,3.5e-06
1400356800,4.01e-06,4.01e-06,4.01e-06,4.01e-06,0,0,4.01e-06
1400371200,2.03e-06,2e-06,2.01e-06,2.03e-06,0.00511721,2536.79000152,2.01e-06
1400385600,3.5e-06,3.5e-06,3.5e-06,3.5e-06,0.00147035,420.1,3.5e-06
1400400000,8.34e-06,3.79e-06,3.79e-06,8.2e-06,0.54040632,90835.14176533,5.94e-06
1400414400,8.2e-06,8.2e-06,8.2e-06,8.2e-06,0,0,8.2e-06
1400428800,8.2e-06,8.2e-06,8.2e-06,8.2e-06,0,0,8.2e-06
1400443200,6.7e-06,6.7e-06,6.7e-06,6.7e-06,0.0006698,99.9712985,6.7e-06
1400457600,5.01e-06,5e-06,5.01e-06,5e-06,0.05583977,11149.65469062,5e-06
1400472000,3.33e-06,1.4e-06,3.33e-06,1.4e-06,0.11328935,66951.81173539,1.69e-06
1400486400,4.99e-06,2.01e-06,4.9e-06,2.01e-06,0.04047216,8297.33113887,4.87e-06
1400500800,2.05e-06,2.02e-06,2.05e-06,2.02e-06,0.00516889,2536.5808862,2.03e-06
1400515200,2.91e-06,2.02e-06,2.05e-06,2.91e-06,0.04956624,23831.47689179,2.07e-06
1400529600,4.3e-06,3.32e-06,3.32e-06,4.3e-06,0.10009015,24557.29730784,4.07e-06
1400544000,4.3e-06,4.3e-06,4.3e-06,4.3e-06,0,0,4.3e-06
1400558400,3.1e-06,3e-06,3.1e-06,3e-06,0.01325356,4416.18799645,3e-06
1400572800,4.5e-06,4.36e-06,4.37e-06,4.5e-06,0.05480976,12417.26246664,4.41e-06
1400587200,4.5e-06,4.5e-06,4.5e-06,4.5e-06,0,0,4.5e-06
1400601600,3.18e-06,3.1e-06,3.18e-06,3.1e-06,0.01369777,4325.30855078,3.16e-06
1400616000,4.02e-06,3.01e-06,3.01e-06,3.01e-06,0.04232686,13358.57275112,3.16e-06
1400630400,4.01e-06,4e-06,4e-06,4e-06,0.0767848,19189.13487028,4e-06
1400644800,4e-06,4e-06,4e-06,4e-06,0.030372,7593,4e-06
1400659200,5e-06,4.47e-06,4.47e-06,5e-06,0.16351472,35458.58511064,4.61e-06
1400673600,5.51e-06,4.98e-06,5e-06,4.98e-06,0.15880545,31756.50501835,5e-06
1400688000,4.98e-06,4.98e-06,4.98e-06,4.98e-06,0.01988016,3992,4.98e-06
1400702400,4.98e-06,4e-06,4.98e-06,4e-06,0.11688127,23803.5121061,4.91e-06
1400716800,4e-06,4e-06,4e-06,4e-06,0,0,4e-06
1400731200,3.06e-06,3.05e-06,3.06e-06,3.05e-06,0.00473647,1550,3.05e-06
1400745600,3.05e-06,3.05e-06,3.05e-06,3.05e-06,0.00032736,107.3340098,3.05e-06
1400760000,4.4e-06,3.05e-06,3.05e-06,3.05e-06,0.02391153,6898.13941118,3.46e-06
1400774400,3.16e-06,3.16e-06,3.16e-06,3.16e-06,0.02686,8500,3.16e-06
1400788800,3.17e-06,3.16e-06,3.17e-06,3.16e-06,0.00150667,475.84578606,3.16e-06
1400803200,4.27e-06,3.16e-06,4.27e-06,3.16e-06,0.04970817,15672.84902232,3.17e-06
1400817600,3.15e-06,3.15e-06,3.15e-06,3.15e-06,0.00644999,2047.61904761,3.15e-06
1400832000,3.2e-06,3.15e-06,3.2e-06,3.15e-06,0.00418053,1326.62943855,3.15e-06
1400846400,3.39e-06,3.01e-06,3.15e-06,3.39e-06,0.14100571,43906.84823635,3.21e-06
1400860800,2.51e-06,2.01e-06,2.51e-06,2.01e-06,0.09617303,44968.37757574,2.13e-06
1400875200,2.01e-06,2.01e-06,2.01e-06,2.01e-06,0,0,2.01e-06
1400889600,2.01e-06,2.01e-06,2.01e-06,2.01e-06,0,0,2.01e-06
1400904000,2.01e-06,2.01e-06,2.01e-06,2.01e-06,0,0,2.01e-06
1400918400,2.01e-06,2.01e-06,2.01e-06,2.01e-06,0,0,2.01e-06
1400932800,2.2e-06,2.2e-06,2.2e-06,2.2e-06,0.01772032,8054.69094178,2.2e-06
