date,high,low,open,close,volume,quoteVolume,weightedAverage
1430049600,7.46e-06,4.56e-06,4.56e-06,7.46e-06,0.0228523,3594.93895495,6.35e-06
1430064000,3.499e-05,2.6e-06,3.8e-06,3.25e-05,1.09271463,192848.58462043,5.66e-06
1430078400,5e-06,3.31e-06,5e-06,3.31e-06,0.38731425,98778.67596798,3.92e-06
1430092800,3.87e-06,3.72e-06,3.72e-06,3.87e-06,0.048576,13005.41721157,3.73e-06
1430107200,3.87e-06,3.66e-06,3.87e-06,3.71e-06,0.0826897,22282.5903028,3.71e-06
1430121600,3.55e-06,3.52e-06,3.55e-06,3.52e-06,0.12664097,35918.98831175,3.52e-06
1430136000,3.52e-06,3.52e-06,3.52e-06,3.52e-06,0,0,3.52e-06
1430150400,3.79e-06,3.22e-06,3.46e-06,3.22e-06,0.07163093,21887.99665839,3.27e-06
1430164800,3.29e-06,3.2e-06,3.29e-06,3.21e-06,0.03245951,10034.13914802,3.23e-06
1430179200,3.51e-06,3.32e-06,3.32e-06,3.51e-06,0.03137243,9281.17147648,3.38e-06
1430193600,3.51e-06,3.51e-06,3.51e-06,3.51e-06,0,0,3.51e-06
1430208000,3.5e-06,3.5e-06,3.5e-06,3.5e-06,0.00015299,43.71428571,3.5e-06
1430222400,3.51e-06,3.51e-06,3.51e-06,3.51e-06,0.0001808,51.51282051,3.51e-06
1430236800,3.19e-06,3.19e-06,3.19e-06,3.19e-06,0.00113057,354.4137931,3.19e-06
1430251200,3.51e-06,2.96e-06,3.51e-06,2.96e-06,0.00325925,983.98701679,3.31e-06
1430265600,3.86e-06,3.5e-06,3.5e-06,3.86e-06,0.01632635,4411.22957733,3.7e-06
1430280000,3.86e-06,3.86e-06,3.86e-06,3.86e-06,0,0,3.86e-06
1430294400,3.86e-06,3.86e-06,3.86e-06,3.86e-06,0,0,3.86e-06
1430308800,3.7e-06,3.7e-06,3.7e-06,3.7e-06,0.00037,100,3.7e-06
1430323200,3.69e-06,3.13e-06,3.13e-06,3.69e-06,0.01574614,4304.54774562,3.65e-06
1430337600,3.57e-06,3.01e-06,3.57e-06,3.01e-06,0.00985986,3214.07584161,3.06e-06
1430352000,3.68e-06,3.68e-06,3.68e-06,3.68e-06,0.00113914,309.5512633,3.68e-06
1430366400,3.33e-06,3e-06,3.03e-06,3.33e-06,0.01601938,5184.00053858,3.09e-06
1430380800,3.65e-06,3.33e-06,3.33e-06,3.65e-06,0.00624117,1785.962519,3.49e-06
1430395200,3.66e-06,3.61e-06,3.65e-06,3.61e-06,0.00487769,1335.4339957,3.65e-06
